Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Exocyst -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Microfilament Motor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Snare Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Dna Strand Exchange Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Ubiquitin Ligase Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Nuclear Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Synapse, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Rrna Modification -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Protein Phosphatase Type 2A Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Protein Phosphatase Type 1 Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Mapk Cascade -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Nucleotide Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Ribonuclease Mrp Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Ribonuclease Mrp Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: 3'-5'-Rna Exonuclease Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Nuclear Exosome (Rnase Complex) -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Exosome (Rnase Complex) -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Rdna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Rdna Heterochromatin Formation -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Protein Polyubiquitination -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Nad+ Diphosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Meiotic Spindle Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Trna-Intron Lyase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Trna-Intron Endonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Trna 2'-Phosphotransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Dna Secondary Structure Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Synapse
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, DNA Repair
GO Term: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Autophagy
GO Term: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Microtubule Cytoskeleton Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Nuclear Chromosome -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair
GO Term: Astral Microtubule -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Pericentriolar Material -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Commitment Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Autophagy
GO Term: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Apoptosis
GO Term: Delta24(24-1) Sterol Reductase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: C-8 Sterol Isomerase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: C-5 Sterol Desaturase Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Lanosterol Synthase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: 3-Beta-Hydroxysteroid Dehydrogenase [Nad(P)+]/C4-Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: 3-Beta-Hydroxysteroid 3-Dehydrogenase (Nadp+) Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: C-4 Methylsterol Oxidase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Allantoin Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Allantoin Catabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Mitochondrial Chromosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Mitochondrial Fission -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Peroxisome Targeting Sequence Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, DNA Repair
GO Term: Polysaccharide Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Polysaccharide Catabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Mitotic Cell Cycle -> Biodomain: Cell Cycle, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Nuclear Division -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, DNA Repair
GO Term: Mitotic Cytokinesis -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Synapse, RNA Spliceosome
GO Term: 1-Phosphatidylinositol-3-Phosphate 5-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Magnesium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Rna Fragment Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Adenine Nucleotide Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Spermine Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Endopolyphosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Retrograde Transport, Vesicle Recycling Within Golgi -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Epigenetic
GO Term: Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Apoptosis, Autophagy
GO Term: Response To Superoxide -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Response To Singlet Oxygen -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Response To Oxygen Radical -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Synapse, Apoptosis, RNA Spliceosome
GO Term: Cytoplasmic Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Nicotinamide-Nucleotide Adenylyltransferase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Re-Entry Into Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Storage Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Oxidative Stress
GO Term: Lytic Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Immune Response
GO Term: Template For Synthesis Of G-Rich Strand Of Telomere Dna Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Epigenetic
GO Term: Telomerase Catalytic Core Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: 3-Hydroxyanthranilate 3,4-Dioxygenase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Protein Deneddylation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Rna Cap Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Oxidative Stress
GO Term: Rna 7-Methylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Rna Trimethylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Transcription Export Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Tho Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Mrna Branch Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Generation Of Catalytic Spliceosome For First Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Synapse, Autophagy
GO Term: Generation Of Catalytic Spliceosome For Second Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Synapse
GO Term: Formation Of Quadruple Sl/U4/U5/U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Cis Assembly Of Pre-Catalytic Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Rna Splicing, Via Transesterification Reactions -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Trna-Type Intron Splice Site Recognition And Cleavage -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Regulation Of Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Second Spliceosomal Transesterification Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Spliceosomal Snrnp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Spliceosome Conformational Change To Release U4 (Or U4Atac) And U1 (Or U11) -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Mrna 3'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Spliceosomal Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Mrna 5'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Four-Way Junction Dna Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Y-Form Dna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Heteroduplex Dna Loop Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Synapse
GO Term: Bubble Dna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Synapse
GO Term: Phagophore Assembly Site -> Biodomain: Autophagy, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: Ekc/Keops Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Epigenetic
GO Term: Protein Peptidyl-Prolyl Isomerization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Hir Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Autophagy
GO Term: Autophagosome Membrane -> Biodomain: Autophagy, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Mitophagy -> Biodomain: Autophagy, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Pexophagy -> Biodomain: Autophagy, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Dna-Directed Rna Polymerase Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Oxidative Stress
GO Term: Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Galactose -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Epigenetic
GO Term: Core Tfiih Complex Portion Of Holo Tfiih Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Epigenetic
GO Term: Transcription Factor Tfiih Core Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Epigenetic
GO Term: Mis12/Mind Type Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Tho Complex Part Of Transcription Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Endonucleolytic Cleavage In Its1 To Separate Ssu-Rrna From 5.8S Rrna And Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Cleavage In Its2 Between 5.8S Rrna And Lsu-Rrna Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Rrna 2'-O-Methylation -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Snorna Guided Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Enzyme-Directed Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Maturation Of 5.8S Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Apoptosis, Epigenetic
GO Term: Endonucleolytic Cleavage To Generate Mature 3'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Maturation Of Ssu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Maturation Of Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Maturation Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Exonucleolytic Trimming To Generate Mature 3'-End Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Maturation Of Lsu-Rrna -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Endonucleolytic Cleavage To Generate Mature 5'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Endonucleolytic Cleavage Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Endonucleolytic Cleavage In 5'-Ets Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Maturation Of 5S Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Box C/D Snornp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Oxidative Stress
