Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Gobp Autophagy Of Mitochondrion -> Biodomain: Mitochondrial Function and Metabolism, Autophagy, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of T Cell Tolerance Induction -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Negative Regulation Of Leukocyte Migration -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Response to Stimulus, Unknown
GO Term: Gobp Negative Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Unknown
GO Term: Gobp Negative Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Unknown
GO Term: Gobp Negative Regulation Of T Helper 1 Type Immune Response -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Unknown
GO Term: Gobp Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Response to Stimulus, Unknown
GO Term: Gobp Regulation Of Hypersensitivity -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Unknown
GO Term: Gobp Skeletal Muscle Contraction -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Renal System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Unknown, Unknown, Unknown, Unknown, Unknown
GO Term: Gobp Heart Valve Formation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Immune System and Inflammation, Unknown
GO Term: Gobp Atrioventricular Valve Formation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Cell Adhesion and Interaction, Unknown
GO Term: Gobp Cardiac Left Ventricle Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Immune System and Inflammation, Unknown
GO Term: Gobp Endocardial Cushion Fusion -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Unknown, Immune System and Inflammation
GO Term: Gobp Noradrenergic Neuron Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Gliogenesis and Glial Differentiation, Signal Transduction, Unknown
GO Term: Gobp Growth Plate Cartilage Chondrocyte Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Unknown, Immune System and Inflammation
GO Term: Gobp Succinyl Coa Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Unknown
GO Term: Gobp Mitochondrial Electron Transport Succinate To Ubiquinone -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Unknown
GO Term: Gobp Dna Templated Dna Replication -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Unknown
GO Term: Gobp Dna Unwinding Involved In Dna Replication -> Biodomain: DNA Repair, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Signal Transduction, Unknown
GO Term: Gobp Dna Replication Initiation -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Unknown
GO Term: Gobp Dna Strand Elongation Involved In Dna Replication -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Unknown
GO Term: Gobp Base Excision Repair Gap Filling -> Biodomain: DNA Repair, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Signal Transduction, Unknown
GO Term: Gobp Dna Recombination -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Unknown
GO Term: Gobp Rrna Processing -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Translational Elongation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction
GO Term: Gobp Translational Termination -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction
GO Term: Gobp Protein Folding -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Unknown
GO Term: Gobp De Novo Protein Folding -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Unknown
GO Term: Gobp Gpi Anchor Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Proteolysis -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Protein Quality Control For Misfolded Or Incompletely Synthesized Proteins -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cotranslational Protein Targeting To Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Translocation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Signal Sequence Recognition -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Post Translational Protein Targeting To Endoplasmic Reticulum Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Protein Retention In Er Lumen -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Unknown
GO Term: Gobp Phosphatidylcholine Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, Protein Metabolism and Trafficking, Unknown
GO Term: Gobp Phosphatidylserine Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, Protein Metabolism and Trafficking, Unknown
GO Term: Gobp Prostanoid Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Bile Acid Biosynthetic Process -> Biodomain: Unknown, Lipid Metabolism, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Cholesterol Catabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Unknown
GO Term: Gobp Copper Ion Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Unknown
GO Term: Gobp Mitochondrial Transport -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Apoptosis
GO Term: Gobp Intracellular Iron Ion Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Immune System and Inflammation
GO Term: Gobp Intracellular Sodium Ion Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Unknown
GO Term: Gobp Endoplasmic Reticulum To Golgi Vesicle Mediated Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Retrograde Vesicle Mediated Transport Golgi To Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Intra Golgi Vesicle Mediated Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Vesicle Budding From Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Unknown
GO Term: Gobp Vesicle Coating -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Phagocytosis Recognition -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Unknown
GO Term: Gobp Response To Osmotic Stress -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Unknown
GO Term: Gobp Er Nucleus Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Response To Sterol Depletion -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Cellular Response To Nitrogen Starvation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation, Unknown
GO Term: Gobp Nucleolus Organization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism
GO Term: Gobp Microtubule Depolymerization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Unknown
GO Term: Gobp Endoplasmic Reticulum Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Endosome Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Transcription and Translation Machinery, Unknown
GO Term: Gobp Female Meiotic Nuclear Division -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, Epigenetic Regulation, Immune System and Inflammation, Unknown
GO Term: Gobp Female Meiosis I -> Biodomain: Unknown, Unknown, Unknown, Unknown, Unknown
GO Term: Gobp Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules -> Biodomain: Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Signal Transduction, Unknown
GO Term: Gobp Receptor Guanylyl Cyclase Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Jnk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Apoptosis
GO Term: Gobp Ectoderm Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Unknown
GO Term: Gobp Adult Heart Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Mesodermal Cell Migration -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Isoprenoid Catabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Unknown
GO Term: Gobp Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Unknown
GO Term: Gobp Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Unknown
GO Term: Gobp Response To Temperature Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation, Unknown
GO Term: Gobp Response To Heat -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Unknown
GO Term: Gobp Anterior Posterior Axis Specification -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Immune System and Inflammation, Unknown
GO Term: Gobp Meiotic Chromosome Condensation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Cell Cycle, Unknown
GO Term: Gobp Negative Regulation Of Gene Expression Via Chromosomal Dna Cytosine Methylation -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, RNA Metabolism, Unknown
GO Term: Gobp Response To Acidic Ph -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Unknown
GO Term: Gobp Regulation Of Gastrulation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Immune System and Inflammation, Unknown
GO Term: Gobp Proteasomal Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Apoptosis, Unknown
GO Term: Gobp Positive Regulation Of Autophagy -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Autophagy, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Positive Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Unknown
GO Term: Gobp Regulation Of Collagen Metabolic Process -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Epigenetic Regulation, Unknown
GO Term: Gobp Negative Regulation Of Collagen Metabolic Process -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Epigenetic Regulation, Unknown
GO Term: Gobp Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Unknown
GO Term: Gobp Positive Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Apoptosis, Unknown
GO Term: Gobp Negative Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Unknown
GO Term: Gobp Regulation Of Glucose Transmembrane Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Response to Stimulus, Unknown
GO Term: Gobp Glial Cell Proliferation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Neurotransmission and Synaptic Regulation, Apoptosis, Unknown
GO Term: Gobp Neural Crest Formation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Neural Crest Cell Fate Commitment -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Epigenetic Regulation, Unknown
GO Term: Gobp Schwann Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Apoptosis
GO Term: Gobp Schwann Cell Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Unknown
GO Term: Gobp Gamma Aminobutyric Acid Secretion -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Negative Regulation Of Serotonin Secretion -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Norepinephrine Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Vesicle Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Terpenoid Catabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Epigenetic Regulation, Unknown
GO Term: Gobp Positive Regulation Of Macroautophagy -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Autophagy, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Protein Import -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Peptidyl Proline Modification -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Unknown
GO Term: Gobp Peptidyl Proline Hydroxylation To 4 Hydroxy L Proline -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Unknown
GO Term: Gobp Viral Release From Host Cell -> Biodomain: Unknown, Unknown, Unknown, Unknown, Unknown
GO Term: Gobp Dolichol Metabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Epigenetic Regulation, Unknown
GO Term: Gobp Lipoxygenase Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Lipid Metabolism, Apoptosis
GO Term: Gobp Glial Cell Fate Commitment -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Unknown
GO Term: Gobp Glial Cell Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Neurotransmission and Synaptic Regulation, Apoptosis, Unknown
GO Term: Gobp Protein To Membrane Docking -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Negative Regulation Of Signaling -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Unknown
GO Term: Gobp Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Unknown
GO Term: Gobp Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, RNA Metabolism
GO Term: Gobp Regulation Of Dna Templated Dna Replication Initiation -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Megakaryocyte Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Immune System and Inflammation, Apoptosis
GO Term: Gobp Negative Regulation Of Cell Growth -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Apoptosis, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Ubiquitin Dependent Erad Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Maturation Of Ssu Rrna -> Biodomain: Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Unknown
GO Term: Gobp Intracellular Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
