Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Meiotic Spindle Organization -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Trna-Intron Lyase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Trna-Intron Endonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Trna 2'-Phosphotransferase Activity -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Dna Secondary Structure Binding -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Immune Response, APP Metabolism
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Vacuolar Proton-Transporting V-Type ATPase, V0 Domain, Proteostasis, Autophagy, Oxidative Stress, APP Metabolism
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Vesicular Transport, Autophagy, Proteostasis, APP Metabolism, Oxidative Stress
GO Term: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Immune Response
GO Term: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Microtubule Cytoskeleton Organization -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Nuclear Chromosome -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Immune Response, Proteostasis
GO Term: Astral Microtubule -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Pericentriolar Material -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Commitment Complex -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Delta24(24-1) Sterol Reductase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: C-8 Sterol Isomerase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Metal Binding and Homeostasis
GO Term: C-5 Sterol Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Tau Homeostasis
GO Term: Lanosterol Synthase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: 3-Beta-Hydroxysteroid Dehydrogenase [Nad(P)+]/C4-Decarboxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Tau Homeostasis
GO Term: 3-Beta-Hydroxysteroid 3-Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Tau Homeostasis
GO Term: C-4 Methylsterol Oxidase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Allantoin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, APP Metabolism, Metal Binding and Homeostasis
GO Term: Allantoin Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Mitochondrial Chromosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, APP Metabolism
GO Term: Peroxisome Targeting Sequence Binding -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Polysaccharide Biosynthetic Process -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Polysaccharide Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, APP Metabolism, Immune Response
GO Term: Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Nuclear Division -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Oxidative Stress
GO Term: Mitotic Cytokinesis -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Endolysosome
GO Term: 1-Phosphatidylinositol-3-Phosphate 5-Kinase Activity -> Biodomain: Endolysosome, APP Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Magnesium Ion Binding -> Biodomain: Metal Binding and Homeostasis, APP Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Immune Response, APP Metabolism
GO Term: Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, APP Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Rna Fragment Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Adenine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Spermine Transport -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Endopolyphosphatase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Retrograde Transport, Vesicle Recycling Within Golgi -> Biodomain: Synapse, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Response To Superoxide -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Response To Singlet Oxygen -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Autophagy, APP Metabolism
GO Term: Response To Oxygen Radical -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Cytoplasmic Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Nicotinamide-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Re-Entry Into Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Storage Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, APP Metabolism
GO Term: Lytic Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Immune Response
GO Term: Template For Synthesis Of G-Rich Strand Of Telomere Dna Activity -> Biodomain: Telomere DNA, RNA Spliceosome, DNA Repair, Oxidative Stress, Immune Response
GO Term: Telomerase Catalytic Core Complex -> Biodomain: Telomerase Catalytic Core Complex, Apoptosis, DNA Repair, Oxidative Stress, Proteostasis
GO Term: 3-Hydroxyanthranilate 3,4-Dioxygenase Activity -> Biodomain: Oxidative Stress, APP Metabolism, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Protein Deneddylation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Rna Cap Binding -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Rna 7-Methylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Rna Trimethylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Autophagy
GO Term: Transcription Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Tho Complex -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Mrna Branch Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Generation Of Catalytic Spliceosome For First Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Generation Of Catalytic Spliceosome For Second Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Formation Of Quadruple Sl/U4/U5/U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Cis Assembly Of Pre-Catalytic Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Rna Splicing, Via Transesterification Reactions -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Trna-Type Intron Splice Site Recognition And Cleavage -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Regulation Of Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Second Spliceosomal Transesterification Activity -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Spliceosomal Snrnp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Spliceosome Conformational Change To Release U4 (Or U4Atac) And U1 (Or U11) -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Mrna 3'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Spliceosomal Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Mrna 5'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Four-Way Junction Dna Binding -> Biodomain: DNA Repair, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Y-Form Dna Binding -> Biodomain: DNA Repair, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Heteroduplex Dna Loop Binding -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Immune Response
GO Term: Bubble Dna Binding -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Phagophore Assembly Site -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Immune Response
GO Term: Ekc/Keops Complex -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Protein Peptidyl-Prolyl Isomerization -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Hir Complex -> Biodomain: Proteostasis, Apoptosis, DNA Repair, Immune Response, Epigenetic
GO Term: Autophagosome Membrane -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Pexophagy -> Biodomain: Autophagy, Oxidative Stress, Proteostasis, APP Metabolism, Immune Response
GO Term: Dna-Directed Rna Polymerase Complex -> Biodomain: Proteostasis, Apoptosis, Immune Response, Tau Homeostasis, DNA Repair
GO Term: Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Immune Response, Autophagy
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Galactose -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Core Tfiih Complex Portion Of Holo Tfiih Complex -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Transcription Factor Tfiih Core Complex -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, DNA Repair, Tau Homeostasis
GO Term: Mis12/Mind Type Complex -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Apoptosis, Cell Cycle
GO Term: Tho Complex Part Of Transcription Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Endonucleolytic Cleavage In Its1 To Separate Ssu-Rrna From 5.8S Rrna And Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Cleavage In Its2 Between 5.8S Rrna And Lsu-Rrna Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, APP Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Rrna 2'-O-Methylation -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Immune Response, Apoptosis
GO Term: Snorna Guided Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Apoptosis, Immune Response
GO Term: Enzyme-Directed Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Apoptosis, Immune Response
GO Term: Maturation Of 5.8S Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Endonucleolytic Cleavage To Generate Mature 3'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Maturation Of Ssu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Maturation Of Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Maturation Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Exonucleolytic Trimming To Generate Mature 3'-End Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Maturation Of Lsu-Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
