Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown, Proteostasis
GO Term: Trna-Intron Lyase Activity -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Trna-Intron Endonuclease Complex -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Endolysosome
GO Term: Trna 2'-Phosphotransferase Activity -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Autophagy, APP Metabolism
GO Term: Dna Secondary Structure Binding -> Biodomain: Unknown, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Unknown
GO Term: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Unknown
GO Term: Microtubule Cytoskeleton Organization -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Unknown
GO Term: Nuclear Chromosome -> Biodomain: Unknown, Cell Cycle, DNA Repair, Apoptosis, Immune Response
GO Term: Astral Microtubule -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Unknown
GO Term: Pericentriolar Material -> Biodomain: Unknown, Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis
GO Term: Commitment Complex -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Apoptosis, Immune Response
GO Term: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Delta24(24-1) Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, APP Metabolism, Proteostasis
GO Term: C-8 Sterol Isomerase Activity -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, APP Metabolism, Structural Stabilization
GO Term: C-5 Sterol Desaturase Activity -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, APP Metabolism, Structural Stabilization
GO Term: Lanosterol Synthase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: 3-Beta-Hydroxysteroid Dehydrogenase [Nad(P)+]/C4-Decarboxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Unknown
GO Term: 3-Beta-Hydroxysteroid 3-Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Unknown, Proteostasis
GO Term: C-4 Methylsterol Oxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Unknown, Proteostasis
GO Term: Allantoin Metabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Allantoin Catabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Mitochondrial Chromosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism, Unknown
GO Term: Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Unknown
GO Term: Peroxisome Targeting Sequence Binding -> Biodomain: Unknown, Oxidative Stress, Autophagy, Proteostasis, APP Metabolism
GO Term: Polysaccharide Biosynthetic Process -> Biodomain: Unknown, Proteostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Polysaccharide Catabolic Process -> Biodomain: Unknown, Autophagy, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Mitotic Cell Cycle -> Biodomain: Cell Cycle, Unknown, Apoptosis, Immune Response, Proteostasis
GO Term: Nuclear Division -> Biodomain: Cell Cycle, Unknown, Apoptosis, Immune Response, Structural Stabilization
GO Term: Mitotic Cytokinesis -> Biodomain: Cell Cycle, Unknown, Apoptosis, Immune Response, Structural Stabilization
GO Term: 1-Phosphatidylinositol-3-Phosphate 5-Kinase Activity -> Biodomain: Endolysosome, APP Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: Magnesium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Unknown, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Rna Fragment Catabolic Process -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Adenine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Unknown
GO Term: Spermine Transport -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Endopolyphosphatase Activity -> Biodomain: Unknown, Autophagy, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Retrograde Transport, Vesicle Recycling Within Golgi -> Biodomain: Synapse, Proteostasis, APP Metabolism, Autophagy, Unknown
GO Term: Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Response To Superoxide -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Response To Singlet Oxygen -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Autophagy, Unknown
GO Term: Response To Oxygen Radical -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Cytoplasmic Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Nicotinamide-Nucleotide Adenylyltransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Autophagy, Unknown
GO Term: Re-Entry Into Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Unknown, Immune Response, Oxidative Stress
GO Term: Storage Vacuole -> Biodomain: Unknown, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Lytic Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Unknown, Immune Response
GO Term: Template For Synthesis Of G-Rich Strand Of Telomere Dna Activity -> Biodomain: Unknown, DNA Repair, Apoptosis, Oxidative Stress, Immune Response
GO Term: Telomerase Catalytic Core Complex -> Biodomain: Unknown, Apoptosis, Oxidative Stress, Proteostasis, DNA Repair
GO Term: 3-Hydroxyanthranilate 3,4-Dioxygenase Activity -> Biodomain: Oxidative Stress, APP Metabolism, Proteostasis, Autophagy, Unknown
GO Term: Protein Deneddylation -> Biodomain: Proteostasis, Unknown, Apoptosis, Tau Homeostasis, Endolysosome
GO Term: Rna Cap Binding -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Rna 7-Methylguanosine Cap Binding -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Rna Trimethylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Transcription Export Complex -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Immune Response
GO Term: Tho Complex -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Autophagy, Immune Response
GO Term: Mrna Branch Site Recognition -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Generation Of Catalytic Spliceosome For First Transesterification Step -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Generation Of Catalytic Spliceosome For Second Transesterification Step -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Formation Of Quadruple Sl/U4/U5/U6 Snrnp -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Cis Assembly Of Pre-Catalytic Spliceosome -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Rna Splicing, Via Transesterification Reactions -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Trna-Type Intron Splice Site Recognition And Cleavage -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Regulation Of Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Second Spliceosomal Transesterification Activity -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Spliceosomal Snrnp Assembly -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Spliceosome Conformational Change To Release U4 (Or U4Atac) And U1 (Or U11) -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Immune Response
GO Term: Mrna 3'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Spliceosomal Complex Disassembly -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Mrna 5'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Four-Way Junction Dna Binding -> Biodomain: Unknown, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Y-Form Dna Binding -> Biodomain: Unknown, DNA Repair, Autophagy, Epigenetic, Proteostasis
GO Term: Heteroduplex Dna Loop Binding -> Biodomain: Unknown, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Bubble Dna Binding -> Biodomain: Unknown, DNA Repair, Autophagy, Epigenetic, Proteostasis
GO Term: Phagophore Assembly Site -> Biodomain: Autophagy, Endolysosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Ekc/Keops Complex -> Biodomain: Unknown, Proteostasis, Autophagy, DNA Repair, Immune Response
GO Term: Protein Peptidyl-Prolyl Isomerization -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Hir Complex -> Biodomain: Unknown, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Autophagosome Membrane -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Mitophagy -> Biodomain: Autophagy, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Pexophagy -> Biodomain: Autophagy, Oxidative Stress, Proteostasis, Unknown, APP Metabolism
GO Term: Dna-Directed Rna Polymerase Complex -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Immune Response
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Unknown
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Galactose -> Biodomain: Unknown, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Core Tfiih Complex Portion Of Holo Tfiih Complex -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Transcription Factor Tfiih Core Complex -> Biodomain: Unknown, DNA Repair, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Mis12/Mind Type Complex -> Biodomain: Unknown, Cell Cycle, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Tho Complex Part Of Transcription Export Complex -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Immune Response
GO Term: Endonucleolytic Cleavage In Its1 To Separate Ssu-Rrna From 5.8S Rrna And Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Cleavage In Its2 Between 5.8S Rrna And Lsu-Rrna Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Rrna 2'-O-Methylation -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Endolysosome
GO Term: Snorna Guided Rrna Pseudouridine Synthesis -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Endolysosome
GO Term: Enzyme-Directed Rrna Pseudouridine Synthesis -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Endolysosome
GO Term: Maturation Of 5.8S Rrna -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Endolysosome
GO Term: Endonucleolytic Cleavage To Generate Mature 3'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Endolysosome
GO Term: Maturation Of Ssu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Maturation Of Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Maturation Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Exonucleolytic Trimming To Generate Mature 3'-End Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic
GO Term: Maturation Of Lsu-Rrna -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Endolysosome
GO Term: Endonucleolytic Cleavage To Generate Mature 5'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Endolysosome
GO Term: Endonucleolytic Cleavage Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Endolysosome
GO Term: Endonucleolytic Cleavage In 5'-Ets Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Endolysosome
GO Term: Maturation Of 5S Rrna -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Endolysosome
GO Term: Box C/D Snornp Assembly -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Immune Response
