Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Synapse
GO Term: Dna Replication Checkpoint Signaling -> Biodomain: Unknown, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Unknown, Proteostasis
GO Term: Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Sulfur Amino Acid Metabolic Process -> Biodomain: Unknown, Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sulfur Amino Acid Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Sulfur Amino Acid Catabolic Process -> Biodomain: Unknown, Proteostasis, Oxidative Stress, Autophagy, Synapse
GO Term: Sulfur Amino Acid Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Sulfate Assimilation -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: L-Histidine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: Histone Deacetylase Complex -> Biodomain: Epigenetic, Unknown, Synapse, Proteostasis, RNA Spliceosome
GO Term: Rna Polymerase I Transcription Regulator Complex -> Biodomain: Unknown, Synapse, Proteostasis, RNA Spliceosome, Epigenetic
GO Term: Glycerol-1-Phosphatase Activity -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Histone Acetyltransferase Complex -> Biodomain: Epigenetic, Synapse, Proteostasis, Unknown, RNA Spliceosome
GO Term: Saga Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Transcription Factor Tfiiib Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Epigenetic
GO Term: Transcription Factor Tfiiic Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Establishment Of Mitotic Spindle Orientation -> Biodomain: Cell Cycle, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Golgi Cis Cisterna -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Golgi Trans Cisterna -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Golgi Membrane -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Exocyst -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Microfilament Motor Activity -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Snare Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Dna Strand Exchange Activity -> Biodomain: Unknown, DNA Repair, Epigenetic, Synapse, Proteostasis
GO Term: Ubiquitin Ligase Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Nuclear Ubiquitin Ligase Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, RNA Spliceosome
GO Term: Rrna Modification -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Protein Phosphatase Type 2A Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Protein Phosphatase Type 1 Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Mapk Cascade -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Nucleotide Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Ribonuclease Mrp Activity -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Synapse, Oxidative Stress
GO Term: Ribonuclease Mrp Complex -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Mitochondrial Metabolism
GO Term: 3'-5'-Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Nuclear Exosome (Rnase Complex) -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Exosome (Rnase Complex) -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Apoptosis, Unknown
GO Term: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Rdna Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Rdna Heterochromatin Formation -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Apoptosis, Unknown
GO Term: Protein Polyubiquitination -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, Unknown
GO Term: Nad+ Diphosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Meiotic Spindle Organization -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Trna-Intron Lyase Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Trna-Intron Endonuclease Complex -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Trna 2'-Phosphotransferase Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Dna Secondary Structure Binding -> Biodomain: Unknown, RNA Spliceosome, DNA Repair, Proteostasis, Synapse
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Unknown
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Unknown
GO Term: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Microtubule Cytoskeleton Organization -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Mitochondrial Metabolism
GO Term: Nuclear Chromosome -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Epigenetic
GO Term: Astral Microtubule -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Cell Cycle
GO Term: Pericentriolar Material -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Cell Cycle
GO Term: Commitment Complex -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Synapse, Epigenetic
GO Term: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Synapse, Epigenetic
GO Term: Delta24(24-1) Sterol Reductase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism
GO Term: C-8 Sterol Isomerase Activity -> Biodomain: Unknown, Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: C-5 Sterol Desaturase Activity -> Biodomain: Unknown, Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Lanosterol Synthase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: 3-Beta-Hydroxysteroid Dehydrogenase [Nad(P)+]/C4-Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism
GO Term: 3-Beta-Hydroxysteroid 3-Dehydrogenase (Nadp+) Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: C-4 Methylsterol Oxidase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism
GO Term: Allantoin Metabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Allantoin Catabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Mitochondrial Chromosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Mitochondrial Fission -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Peroxisome Targeting Sequence Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Polysaccharide Biosynthetic Process -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Polysaccharide Catabolic Process -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitotic Cell Cycle -> Biodomain: Cell Cycle, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Nuclear Division -> Biodomain: Cell Cycle, Unknown, Apoptosis, Synapse, Proteostasis
GO Term: Mitotic Cytokinesis -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Synapse
GO Term: 1-Phosphatidylinositol-3-Phosphate 5-Kinase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Unknown
GO Term: Magnesium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Rna Fragment Catabolic Process -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Adenine Nucleotide Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Spermine Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Endopolyphosphatase Activity -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Retrograde Transport, Vesicle Recycling Within Golgi -> Biodomain: Synapse, Proteostasis, Unknown, Autophagy, RNA Spliceosome
GO Term: Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Apoptosis, Unknown
GO Term: Response To Superoxide -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Unknown, Apoptosis
GO Term: Response To Singlet Oxygen -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Unknown, Apoptosis
GO Term: Response To Oxygen Radical -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Apoptosis, Unknown
GO Term: Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Unknown, Proteostasis, Synapse, Apoptosis
GO Term: Cytoplasmic Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Nicotinamide-Nucleotide Adenylyltransferase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Mitochondrial Metabolism
GO Term: Re-Entry Into Mitotic Cell Cycle -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Synapse
GO Term: Storage Vacuole -> Biodomain: Unknown, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Lytic Vacuole -> Biodomain: Endolysosome, Unknown, Autophagy, Proteostasis, Oxidative Stress
GO Term: Template For Synthesis Of G-Rich Strand Of Telomere Dna Activity -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Proteostasis, Synapse
GO Term: Telomerase Catalytic Core Complex -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: 3-Hydroxyanthranilate 3,4-Dioxygenase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Protein Deneddylation -> Biodomain: Proteostasis, Synapse, Unknown, Apoptosis, Oxidative Stress
GO Term: Rna Cap Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Rna 7-Methylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Rna Trimethylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Epigenetic
GO Term: Transcription Export Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Tho Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Mrna Branch Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Unknown, Epigenetic
GO Term: Generation Of Catalytic Spliceosome For First Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Synapse, Epigenetic
GO Term: Generation Of Catalytic Spliceosome For Second Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Unknown, Epigenetic
GO Term: Formation Of Quadruple Sl/U4/U5/U6 Snrnp -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Cis Assembly Of Pre-Catalytic Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Synapse, Epigenetic
GO Term: Rna Splicing, Via Transesterification Reactions -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Epigenetic
GO Term: Trna-Type Intron Splice Site Recognition And Cleavage -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Synapse, Epigenetic
GO Term: Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Epigenetic
GO Term: Regulation Of Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Epigenetic
GO Term: Second Spliceosomal Transesterification Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Unknown, Epigenetic
GO Term: Spliceosomal Snrnp Assembly -> Biodomain: RNA Spliceosome, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Spliceosome Conformational Change To Release U4 (Or U4Atac) And U1 (Or U11) -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Mrna 3'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Unknown, Epigenetic
GO Term: Spliceosomal Complex Disassembly -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Epigenetic
GO Term: Mrna 5'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Epigenetic
GO Term: Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Epigenetic
GO Term: Four-Way Junction Dna Binding -> Biodomain: Unknown, DNA Repair, Epigenetic, Synapse, Proteostasis
GO Term: Y-Form Dna Binding -> Biodomain: Unknown, RNA Spliceosome, DNA Repair, Proteostasis, Synapse
GO Term: Heteroduplex Dna Loop Binding -> Biodomain: Unknown, RNA Spliceosome, DNA Repair, Proteostasis, Synapse
GO Term: Bubble Dna Binding -> Biodomain: Unknown, RNA Spliceosome, DNA Repair, Proteostasis, Synapse
GO Term: Phagophore Assembly Site -> Biodomain: Autophagy, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Ekc/Keops Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Epigenetic
GO Term: Protein Peptidyl-Prolyl Isomerization -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Hir Complex -> Biodomain: Unknown, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Autophagosome Membrane -> Biodomain: Autophagy, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: Pexophagy -> Biodomain: Autophagy, Unknown, Oxidative Stress, Proteostasis, Synapse
GO Term: Dna-Directed Rna Polymerase Complex -> Biodomain: RNA Spliceosome, Unknown, Epigenetic, Proteostasis, Synapse
GO Term: Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Galactose -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Core Tfiih Complex Portion Of Holo Tfiih Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Epigenetic
GO Term: Transcription Factor Tfiih Core Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Unknown
GO Term: Mis12/Mind Type Complex -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Tho Complex Part Of Transcription Export Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Endonucleolytic Cleavage In Its1 To Separate Ssu-Rrna From 5.8S Rrna And Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Apoptosis, Unknown
GO Term: Cleavage In Its2 Between 5.8S Rrna And Lsu-Rrna Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Rrna 2'-O-Methylation -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Unknown, Epigenetic
GO Term: Snorna Guided Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Synapse, Oxidative Stress
GO Term: Enzyme-Directed Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Maturation Of 5.8S Rrna -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Synapse, Oxidative Stress
GO Term: Endonucleolytic Cleavage To Generate Mature 3'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Maturation Of Ssu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Maturation Of Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Maturation Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Exonucleolytic Trimming To Generate Mature 3'-End Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Maturation Of Lsu-Rrna -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Synapse, Epigenetic
GO Term: Endonucleolytic Cleavage To Generate Mature 5'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Endonucleolytic Cleavage Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Endonucleolytic Cleavage In 5'-Ets Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Unknown, Oxidative Stress
GO Term: Maturation Of 5S Rrna -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Synapse, Epigenetic
GO Term: Box C/D Snornp Assembly -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Box H/Aca Snornp Assembly -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Box C/D Sno(S)Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Box H/Aca Sno(S)Rna 3'-End Processing -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Proteasome Complex -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, Unknown
GO Term: Glycosylphosphatidylinositol-N-Acetylglucosaminyltransferase (Gpi-Gnt) Complex -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
