Running with TEMP=0.0, sub_array_index=49
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 49: rows 2400 to 2449
GO Term: Gocc Endoplasmic Reticulum Lumen -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gocc Axonemal Dynein Complex -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gocc Muscle Myosin Complex -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gocc Cytoplasmic Dynein Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Cell Cycle, Signal Transduction
GO Term: Gocc Dynactin Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction
GO Term: Gocc Axonemal Microtubule -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gocc Cytoplasmic Microtubule -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gocc Intermediate Filament -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gocc Caveola -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Lipid Metabolism, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gocc Cell Cell Junction -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gocc Fascia Adherens -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Cilium -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gocc Axoneme -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Mitochondrial Alpha Ketoglutarate Dehydrogenase Complex -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gocc Cyclin Cdk Positive Transcription Elongation Factor Complex -> Biodomain: Transcription and Translation Machinery, Cell Cycle, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gocc Spectrin -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Oligosaccharyltransferase Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Gocc Caspase Complex -> Biodomain: Apoptosis, Immune System and Inflammation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gocc Integrin Complex -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gocc Proteasome Regulatory Particle Base Subcomplex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc External Side Of Plasma Membrane -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, Immune System and Inflammation, Structural Stabilization
GO Term: Gocc Cell Surface -> Biodomain: Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gocc Er To Golgi Transport Vesicle Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Intercalated Disc -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Dystrophin Associated Glycoprotein Complex -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gocc Basolateral Plasma Membrane -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gocc Myosin Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gocc Myosin Ii Complex -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gocc Proton Transporting Two Sector Atpase Complex -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gocc Sarcoplasm -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gocc Ccaat Binding Factor Complex -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gocc Aminoacyl Trna Synthetase Multienzyme Complex -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gocc Scf Ubiquitin Ligase Complex -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Cell Cycle, DNA Repair
GO Term: Gocc Nuclear Cyclin Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gocc Proteasome Accessory Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gocc Trapp Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gocc Ccr4 Not Core Complex -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation
GO Term: Gocc Desmosome -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gocc Mitochondrial Crista -> Biodomain: Mitochondrial Function and Metabolism, Structural Stabilization, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_49.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
