Running with TEMP=0.0, sub_array_index=32
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 32: rows 1550 to 1599
GO Term: Gobp Lung Saccule Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Epithelial Tube Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Neuroepithelial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Morphogenesis Of An Epithelial Fold -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Morphogenesis Of An Epithelial Bud -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Chondroblast Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Lateral Sprouting From An Epithelium -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Branch Elongation Of An Epithelium -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Mammary Gland Duct Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Er To Golgi Vesicle Mediated Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Mesenchymal Epithelial Cell Signaling -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Ureteric Bud Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Ureteric Bud Elongation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Cell Cycle, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Branch Elongation Involved In Ureteric Bud Branching -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Prostatic Bud Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Morphogenesis Of A Branching Structure -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Regulation Of Ribonuclease Activity -> Biodomain: RNA Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Parental Behavior -> Biodomain: System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Mammary Gland Alveolus Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Response To Cytokine Stimulus -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Signal Transduction, Cell Cycle, System and Developmental Process, Cell Adhesion and Interaction, Immune System and Inflammation
GO Term: Gobp Cell Fate Commitment Involved In Formation Of Primary Germ Layer -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Smoothened Signaling Pathway Involved In Dorsal Ventral Neural Tube Patterning -> Biodomain: Signal Transduction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery
GO Term: Gobp Blood Vessel Endothelial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus
GO Term: Gobp Endothelial Cell Fate Commitment -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Artery Development -> Biodomain: System and Developmental Process, Structural Stabilization, Signal Transduction, Immune System and Inflammation, Cell Adhesion and Interaction
GO Term: Gobp Semicircular Canal Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Embryonic Camera Type Eye Formation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Gliogenesis and Glial Differentiation
GO Term: Gobp Positive Regulation Of Macrophage Cytokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Heart Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Sinoatrial Node Cell Differentiation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gobp Sinoatrial Node Cell Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Endocrine Hormone Secretion -> Biodomain: Signal Transduction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_32.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
