Running with TEMP=0.0, sub_array_index=56
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 56: rows 2750 to 2799
GO Term: Gomf Interleukin 6 Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Acetylesterase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Protein Tyrosine Serine Threonine Phosphatase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf N Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf O Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, RNA Metabolism, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gomf Rna Methyltransferase Activity -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf Trna Methyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Transcription and Translation Machinery, RNA Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Atp Dependent Activity Acting On Rna -> Biodomain: RNA Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gomf Eukaryotic Initiation Factor 4E Binding -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gomf Metalloendopeptidase Inhibitor Activity -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis
GO Term: Gomf Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gomf Ferric Iron Binding -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Lipid Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Heparin Binding -> Biodomain: Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gomf Metallopeptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process
GO Term: Gomf Protein Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gomf Protein Tyrosine Threonine Phosphatase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus, Transcription and Translation Machinery
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_56.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
