Running with TEMP=0.0, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 900 to 949
GO Term: Gobp Regulation Of Toll Like Receptor 2 Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Response To Tumor Necrosis Factor -> Biodomain: Immune System and Inflammation, Signal Transduction, Apoptosis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Ncrna Catabolic Process -> Biodomain: RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Response To Gonadotropin -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Response To Luteinizing Hormone -> Biodomain: Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Piecemeal Microautophagy Of The Nucleus -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, DNA Repair, Epigenetic Regulation
GO Term: Gobp Nucleosome Organization -> Biodomain: Epigenetic Regulation, DNA Repair, Transcription and Translation Machinery, Cell Cycle, Response to Stimulus
GO Term: Gobp Regulation Of Iron Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Negative Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Histone H4 K20 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization, System and Developmental Process, Signal Transduction
GO Term: Gobp Histone H4 K20 Trimethylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Response To Histamine -> Biodomain: Immune System and Inflammation, Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Histone Lysine Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Histone Arginine Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Rac Protein Signal Transduction -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Rac Protein Signal Transduction -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Cell Cycle, Immune System and Inflammation
GO Term: Gobp Regulation Of Rho Protein Signal Transduction -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Embryonic Heart Tube Development -> Biodomain: System and Developmental Process, Cardiovascular System and Function, Morphogenesis and Cell Differentiation, Embryonic Development and Morphogenesis, Structural Stabilization
GO Term: Gobp Axoneme Assembly -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Response To Nicotine -> Biodomain: Response to Stimulus, Neurotransmission and Synaptic Regulation, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Appendage Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Embryonic Appendage Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Embryonic Forelimb Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Embryonic Hindlimb Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Forelimb Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Hindlimb Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_19.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
