Running with TEMP=0.0, sub_array_index=22
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 22: rows 1050 to 1099
GO Term: Gobp Monocyte Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Dopamine Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Norepinephrine Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Ethanolamine Containing Compound Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Hormone Metabolic Process -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Hormone Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Purine Nucleoside Biosynthetic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Eye Photoreceptor Cell Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Ear Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Inner Ear Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Odontogenesis Of Dentin Containing Tooth -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Odontogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Regulation Of Odontogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Epigenetic Regulation, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Odontogenesis Of Dentin Containing Tooth -> Biodomain: System and Developmental Process, Signal Transduction, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Gamma Delta T Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Serine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Hyperosmotic Salinity Response -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Neuron Maturation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Retinol Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Homeostatic Process -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Regulation Of Hair Cycle -> Biodomain: System and Developmental Process, Cell Cycle, Response to Stimulus, Structural Stabilization, Signal Transduction
GO Term: Gobp Regulation Of Mesodermal Cell Fate Specification -> Biodomain: System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Retinal Cone Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Ovulation Cycle -> Biodomain: System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Embryonic Digit Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Defense Response To Bacterium -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Autophagy, Epigenetic Regulation
GO Term: Gobp Regulation Of Circadian Rhythm -> Biodomain: System and Developmental Process, Response to Stimulus, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Long Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Dna Damage Response Signal Transduction Resulting In Transcription -> Biodomain: DNA Repair, Signal Transduction, Transcription and Translation Machinery, Cell Cycle, Response to Stimulus
GO Term: Gobp Trna 3 End Processing -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp 5S Class Rrna Transcription By Rna Polymerase Iii -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Vitamin B6 Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Amyloid Precursor Protein Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_22.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
