Running with TEMP=0.0, sub_array_index=23
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 23: rows 1100 to 1149
GO Term: Gobp Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Insulin Like Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Cell Cycle
GO Term: Gobp Negative Regulation Of Insulin Like Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Maintenance Of Dna Repeat Elements -> Biodomain: DNA Repair, Epigenetic Regulation, Chromatin Organization, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Ear Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Tongue Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Skin Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Astrocyte Cell Migration -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Keratinocyte Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Oxidative Stress -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Regulation Of Dna Templated Transcription In Response To Stress -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Response To Estrogen -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation, Response to Stimulus, Lipid Metabolism
GO Term: Gobp Rna Polyadenylation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Polyadenylation Dependent Rna Catabolic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Inositol Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Dicarboxylic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Biological Process Involved In Symbiotic Interaction -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation By Host Of Viral Transcription -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Immune System and Inflammation, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Exonucleolytic Catabolism Of Deadenylated Mrna -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_23.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
