Running with TEMP=0.0, sub_array_index=37
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 37: rows 1800 to 1849
GO Term: Gobp Mesangial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Stem Cell Proliferation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Glomerular Mesangium Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Glomerular Mesangial Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Cell Proliferation Involved In Kidney Development -> Biodomain: System and Developmental Process, Cell Cycle, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Glomerular Mesangial Cell Proliferation -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Mesenchyme Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Mesangial Cell Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Immune System and Inflammation, Signal Transduction
GO Term: Gobp Glomerular Mesangial Cell Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Epithelial Cell Fate Commitment -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Nephron Tubule Epithelial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Mesenchymal Cell Differentiation Involved In Kidney Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Metanephric Mesenchymal Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus
GO Term: Gobp Mesonephric Tubule Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Mesonephric Tubule Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Metanephric Tubule Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Mesonephric Duct Development -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Nephric Duct Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Ureter Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Ureter Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Mesenchymal Cell Proliferation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Cell Differentiation Involved In Metanephros Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus
GO Term: Gobp Metanephric Collecting Duct Development -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Metanephric Epithelium Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Metanephric Nephron Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Metanephric Glomerular Mesangium Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Metanephric Glomerulus Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Structural Stabilization, Signal Transduction
GO Term: Gobp Metanephric Glomerulus Vasculature Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Metanephric Nephron Epithelium Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Metanephric Nephron Tubule Epithelial Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Metanephric Nephron Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Metanephric Nephron Tubule Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Metanephric Renal Vesicle Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Metanephric S Shaped Body Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Glomerular Epithelial Cell Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
GO Term: Gobp Glomerular Epithelial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Cell Cycle, Structural Stabilization
GO Term: Gobp Vesicle Uncoating -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_37.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
