Running with TEMP=0.0, sub_array_index=29
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 29: rows 1400 to 1449
GO Term: Gobp Regulation Of Mrna Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Developmental Process -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Developmental Process -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Positive Regulation Of Nk T Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Regulation Of Nk T Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Smooth Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Striated Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Vitamin Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Cartilage Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Sequestering Of Metal Ion -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Positive Regulation Of Multicellular Organismal Process -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Multicellular Organismal Process -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Immune System and Inflammation
GO Term: Gobp Protein Polymerization -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Structural Stabilization, System and Developmental Process, Signal Transduction
GO Term: Gobp Protein Homotetramerization -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_29.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
