Running with TEMP=0.0, sub_array_index=33
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 33: rows 1600 to 1649
GO Term: Gobp Kidney Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Chondrocyte Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Retina Vasculature Morphogenesis In Camera Type Eye -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus
GO Term: Gobp Cell Surface Receptor Signaling Pathway Involved In Heart Development -> Biodomain: Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Bmp Signaling Pathway Involved In Heart Development -> Biodomain: Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Canonical Wnt Signaling Pathway Involved In Cardiac Muscle Cell Fate Commitment -> Biodomain: Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Epigenetic Regulation
GO Term: Gobp Renal Tubule Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Behavioral Response To Chemical Pain -> Biodomain: Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Bone Trabecula Morphogenesis -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Developmental Biology, Response to Stimulus
GO Term: Gobp Establishment Of Skin Barrier -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Renal System Vasculature Development -> Biodomain: System and Developmental Process, Angiogenesis, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Connective Tissue Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Protein Metabolism and Trafficking, Structural Stabilization
GO Term: Gobp Reproductive System Development -> Biodomain: System and Developmental Process, Structural Stabilization, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Ganglion Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Pharyngeal Arch Artery Morphogenesis -> Biodomain: System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Histone H3 K9 Modification -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Chaperone Mediated Autophagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Reticulophagy -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gobp Lipophagy -> Biodomain: Autophagy, Lipid Metabolism, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Motor Behavior -> Biodomain: Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Camkk Ampk Signaling Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_33.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
