Running with TEMP=0.0, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 700 to 749
GO Term: Gobp Positive Regulation Of Epithelial Cell Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Histone Modification -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Histone Methylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Histone Methylation -> Biodomain: Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Positive Regulation Of Histone Methylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Regulation Of Histone Deacetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Histone Deacetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Response to Stimulus, Signal Transduction
GO Term: Gobp Embryonic Camera Type Eye Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regeneration -> Biodomain: System and Developmental Process, Response to Stimulus, Cell Cycle, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Cell Cycle, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Cell Cycle, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Trna Pseudouridine Synthesis -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Cytoplasmic Microtubule Organization -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Mrna 3 End Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Developmental Induction -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Scf Dependent Proteasomal Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Post Translational Protein Targeting To Membrane Translocation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Biomineral Tissue Development -> Biodomain: System and Developmental Process, Structural Stabilization, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Pseudopodium Assembly -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Vesicle Fusion -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Cell Killing -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Cell Killing -> Biodomain: Apoptosis, Autophagy, Immune System and Inflammation, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Cell Killing -> Biodomain: Apoptosis, Immune System and Inflammation, Autophagy, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Cell Projection Organization -> Biodomain: Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Cell Projection Organization -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process
GO Term: Gobp Positive Regulation Of Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Keratinization -> Biodomain: Structural Stabilization, System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Mrna 3 End Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus
GO Term: Gobp Protein Containing Complex Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Subtelomeric Heterochromatin Formation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Structural Stabilization, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_15.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
