Running with TEMP=0.0, sub_array_index=51
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 51: rows 2500 to 2549
GO Term: Gocc Low Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gocc Chylomicron -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gocc Tim22 Mitochondrial Import Inner Membrane Insertion Complex -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc Gpi Anchor Transamidase Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc H4 H2A Histone Acetyltransferase Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, DNA Repair, System and Developmental Process
GO Term: Gocc Dendritic Shaft -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gocc Lysosomal Lumen -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Myelin Sheath -> Biodomain: Gliogenesis and Glial Differentiation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, System and Developmental Process
GO Term: Gocc Compact Myelin -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Gliogenesis and Glial Differentiation, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gocc Schmidt Lanterman Incisure -> Biodomain: Gliogenesis and Glial Differentiation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Contractile Fiber -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gocc Cell Cell Contact Zone -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gocc Axonal Growth Cone -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, System and Developmental Process
GO Term: Gocc Neuron Spine -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process
GO Term: Gocc Dendritic Spine Neck -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gocc Dendritic Spine Head -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gocc Pinosome -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gocc Nsl Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gocc Mll1 2 Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Signal Transduction, Structural Stabilization
GO Term: Gocc Mll3 4 Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Cell Cycle, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_51.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
