Running with TEMP=0.0, sub_array_index=25
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 25: rows 1200 to 1249
GO Term: Gobp Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, System and Developmental Process, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of T Helper 2 Cell Differentiation -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Melanocyte Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Lipid Metabolism
GO Term: Gobp Positive Regulation Of Myeloid Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Cell Cycle, Response to Stimulus
GO Term: Gobp Negative Regulation Of Macrophage Differentiation -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Response to Stimulus, Cell Cycle
GO Term: Gobp Positive Regulation Of Monocyte Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Regulation Of Myoblast Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Myoblast Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Negative Regulation Of Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Osteoblast Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Osteoblast Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Cell Cycle, Apoptosis, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Osteoblast Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Negative Regulation Of Gluconeogenesis -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Cilium Assembly -> Biodomain: System and Developmental Process, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Dna Repair -> Biodomain: DNA Repair, Signal Transduction, Response to Stimulus, Cell Cycle, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Notch Signaling Pathway -> Biodomain: Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Response to Stimulus
GO Term: Gobp Positive Regulation Of Adenylate Cyclase Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Negative Regulation Of Blood Pressure -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Autophagy
GO Term: Gobp Positive Regulation Of Blood Pressure -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Ossification -> Biodomain: System and Developmental Process, Structural Stabilization, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Cell Adhesion -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Gene Expression Epigenetic -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Glycolytic Process -> Biodomain: Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Positive Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Ph Reduction -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Negative Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of Rna Polymerase Ii Transcription Preinitiation Complex Assembly -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Negative Regulation Of Vasoconstriction -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Complement Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Muscle Contraction -> Biodomain: Response to Stimulus, Signal Transduction, System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Nucleobase Containing Compound Metabolic Process -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Nucleotide Metabolic Process -> Biodomain: DNA Repair, RNA Metabolism, Epigenetic Regulation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Smooth Muscle Contraction -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Response to Stimulus, Structural Stabilization
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_25.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
