Running with TEMP=0.0, sub_array_index=42
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 42: rows 2050 to 2099
GO Term: Gobp Negative Regulation Of Signal Transduction In Absence Of Ligand -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Regulation Of Hematopoietic Stem Cell Proliferation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Hematopoietic Stem Cell Differentiation -> Biodomain: System and Developmental Process, Immune System and Inflammation, Signal Transduction, Cell Cycle, Epigenetic Regulation
GO Term: Gobp Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Signal Transduction, Immune System and Inflammation, Response to Stimulus, Cell Cycle
GO Term: Gobp Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Apoptotic Process Involved In Blood Vessel Morphogenesis -> Biodomain: Apoptosis, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Chromatin Organization -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Signal Transduction, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_42.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
