Running with TEMP=0.0, sub_array_index=36
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 36: rows 1750 to 1799
GO Term: Gobp Cellular Response To Prostaglandin E Stimulus -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Transforming Growth Factor Beta Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Monocyte Chemotactic Protein 1 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Granulocyte Colony Stimulating Factor Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Ip 10 Production -> Biodomain: Immune System and Inflammation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Granulocyte Chemotaxis -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Granulocyte Chemotaxis -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Transforming Growth Factor Beta Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Negative Regulation Of Monocyte Chemotactic Protein 1 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Monocyte Chemotactic Protein 1 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Chemokine C C Motif Ligand 5 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Smooth Muscle Cell Chemotaxis -> Biodomain: Response to Stimulus, Signal Transduction, Immune System and Inflammation, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Response To Indole 3 Methanol -> Biodomain: Response to Stimulus, Signal Transduction, Lipid Metabolism, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Protein Localization To Extracellular Region -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Tumor Necrosis Factor Superfamily Cytokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Basement Membrane Organization -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Response To Diacyl Bacterial Lipopeptide -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Response To Fibroblast Growth Factor -> Biodomain: Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Endoplasmic Reticulum Tubular Network Formation -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism
GO Term: Gobp Podosome Assembly -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Protein Lipid Complex Subunit Organization -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Cell Cycle, Immune System and Inflammation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Determination Of Digestive Tract Left Right Asymmetry -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Renal System Development -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Nephron Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_36.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
