Running with TEMP=0.0, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 500 to 549
GO Term: Gobp Negative Regulation Of Collagen Metabolic Process -> Biodomain: Response to Stimulus, Structural Stabilization, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Negative Regulation Of Low Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Free Ubiquitin Chain Polymerization -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, DNA Repair, Autophagy, Response to Stimulus
GO Term: Gobp Astrocyte Development -> Biodomain: Gliogenesis and Glial Differentiation, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Peripheral Nervous System Axon Regeneration -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Glutamate Secretion -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Phosphatidylinositol 3 Kinase Signaling -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Phosphatidylinositol 3 Kinase Signaling -> Biodomain: Signal Transduction, Cell Cycle, Mitochondrial Function and Metabolism, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Positive Regulation Of Phosphatidylinositol 3 Kinase Signaling -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Organic Cyclic Compound -> Biodomain: Response to Stimulus, Signal Transduction, Lipid Metabolism, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Striated Muscle Tissue Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Cell Cycle, Response to Stimulus
GO Term: Gobp Negative Regulation Of Muscle Hypertrophy -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Cell Cycle
GO Term: Gobp Muscle Cell Migration -> Biodomain: Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Skeletal Muscle Satellite Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Cycle, Signal Transduction, Structural Stabilization
GO Term: Gobp Vascular Associated Smooth Muscle Contraction -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_11.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
