Running with TEMP=0.0, sub_array_index=27
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 27: rows 1300 to 1349
GO Term: Gobp Filopodium Assembly -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Vesicle Transport Along Microtubule -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Antigen Processing And Presentation Of Peptide Antigen -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Mrna Splicing Via Spliceosome -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Embryonic Eye Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Post Embryonic Eye Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Developmental Pigmentation -> Biodomain: System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Developmental Pigmentation -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Somatic Stem Cell Division -> Biodomain: Cell Cycle, System and Developmental Process, Stem Cell Biology, Cell Proliferation and Differentiation, Tissue Homeostasis and Regeneration
GO Term: Gobp Positive Regulation Of Fibroblast Proliferation -> Biodomain: Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Behavioral Response To Cocaine -> Biodomain: Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Fused Antrum Stage -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Cell Cycle, Response to Stimulus
GO Term: Gobp Macrophage Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Lymphocyte Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Receptor Mediated Endocytosis -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Response To Pain -> Biodomain: Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Vesicle Fusion With Golgi Apparatus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Mitochondrion Distribution -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Intracellular Distribution Of Mitochondria -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Mesoderm Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus
GO Term: Gobp Mesodermal Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gobp Paraxial Mesoderm Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Paraxial Mesoderm Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Paraxial Mesoderm Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Retinoic Acid Receptor Signaling Pathway -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Lipid Metabolism, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Autonomic Nervous System Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Enteric Nervous System Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Synaptic Vesicle Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
GO Term: Gobp Synaptic Vesicle Membrane Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Blood Vessel Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Lymph Node Development -> Biodomain: Immune System and Inflammation, System and Developmental Process, Organ Development, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Mucosa Associated Lymphoid Tissue Development -> Biodomain: Immune System and Inflammation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Response To Steroid Hormone -> Biodomain: Response to Stimulus, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Embryonic Organ Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Post Embryonic Animal Organ Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Embryonic Organ Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Cell Cycle, Structural Stabilization, Response to Stimulus
GO Term: Gobp Post Embryonic Animal Organ Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Eye Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_27.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
