Running with TEMP=0.0, sub_array_index=54
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 54: rows 2650 to 2699
GO Term: Gocc Transferase Complex -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gomf Rna Polymerase Ii Intronic Transcription Regulatory Region Sequence Specific Dna Binding -> Biodomain: Transcription and Translation Machinery, DNA Repair, Epigenetic Regulation, RNA Metabolism, Signal Transduction
GO Term: Gomf Rna Polymerase I Transcription Regulatory Region Sequence Specific Dna Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gomf Rna Polymerase I General Transcription Initiation Factor Activity -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, RNA Metabolism, Epigenetic Regulation, Response to Stimulus
GO Term: Gomf Dna Binding Transcription Repressor Activity -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Transcription Corepressor Binding -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Transcription Coactivator Binding -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf Angiotensin Receptor Activity -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gomf Opsonin Binding -> Biodomain: Immune System and Inflammation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gomf Complement Binding -> Biodomain: Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gomf Complement Component C1Q Complex Binding -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Nucleoside Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gomf G Quadruplex Rna Binding -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Structural Stabilization, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gomf Minor Groove Of Adenine Thymine Rich Dna Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, DNA Repair, Signal Transduction, Response to Stimulus
GO Term: Gomf Chromatin Binding -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gomf Dna Binding Transcription Factor Activity -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gomf Nuclear Steroid Receptor Activity -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Transcription Coregulator Activity -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gomf Transcription Coactivator Activity -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Transcription Corepressor Activity -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Cytoskeletal Motor Activity -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Antigen Binding -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf 3 Hydroxyacyl Coa Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Dna Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Dna Topoisomerase Activity -> Biodomain: DNA Repair, Transcription and Translation Machinery, Cell Cycle, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf N Acetyllactosamine Synthase Activity -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Epigenetic Regulation
GO Term: Gomf Nad P H Dehydrogenase Quinone Activity -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Alcohol Dehydrogenase Activity Zinc Dependent -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gomf Aldehyde Dehydrogenase Nad P Plus Activity -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Aryl Sulfotransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Lipid Metabolism, Signal Transduction
GO Term: Gomf Arylesterase Activity -> Biodomain: Response to Stimulus, Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Arylsulfatase Activity -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gomf Carbonate Dehydratase Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gomf Cytochrome B5 Reductase Activity Acting On Nad P H -> Biodomain: Redox Homeostasis and Electron Transport, Metabolism, Heme and Porphyrin Metabolism, Lipid Metabolism, System and Developmental Process
GO Term: Gomf Serine Type Carboxypeptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Metalloendopeptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_54.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
