Running with TEMP=0.0, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Regulation Of Translational Fidelity -> Biodomain: Translation and Transcription Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Monoacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Metabolic Process, Cellular Process, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Phosphatidylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Signal Transduction
GO Term: Gobp Glycerol Ether Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Sphingolipid Metabolic Process -> Biodomain: Lipid Metabolism, Metabolic Process, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Glycosylceramide Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process
GO Term: Gobp Sphingomyelin Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Sphingomyelin Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Glycosphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Metabolic Process, Cellular Component Biogenesis, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Ganglioside Catabolic Process -> Biodomain: Lipid Metabolism, Catabolic Processes, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Prostanoid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp C21 Steroid Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Steroid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cholesterol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Androgen Catabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Isoprenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_6.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
