Running with TEMP=0.0, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 49
GO Term: Gobp Single Strand Break Repair -> Biodomain: DNA Repair, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Cell Cycle
GO Term: Gobp Regulation Of Alternative Mrna Splicing Via Spliceosome -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Mrna 5 Splice Site Recognition -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Small Nucleolar Ribonucleoprotein Complex Assembly -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Resolution Of Meiotic Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Dna Double Strand Break Processing -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, Signal Transduction, Epigenetic Regulation, Cell Cycle
GO Term: Gobp Nuclear Transcribed Mrna Catabolic Process -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Mitochondrial Rna Catabolic Process -> Biodomain: RNA Metabolism, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Transcription Dependent Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Transcription and Translation Machinery, Structural Stabilization, System and Developmental Process, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Response To Acid Chemical -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Transcription and Translation Machinery, Lipid Metabolism
GO Term: Gobp Rna Polymerase I Preinitiation Complex Assembly -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Skeletal System Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Ossification -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Rna Methylation -> Biodomain: RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Cilium Or Flagellum Dependent Cell Motility -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Antral Ovarian Follicle Growth -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Luteolysis -> Biodomain: Apoptosis, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Fatty Acid Alpha Oxidation -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Response To Protozoan -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Microtubule Bundle Formation -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Osteoblast Differentiation -> Biodomain: System and Developmental Process, Structural Stabilization, Signal Transduction, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Urogenital System Development -> Biodomain: System and Developmental Process, Organ Development, Reproductive System Development, Cellular Differentiation, Morphogenesis
GO Term: Gobp Metanephros Development -> Biodomain: System and Developmental Process, Organ Development, Metabolism and Nutrition, Molecular Transport and Homeostasis, Cell Differentiation
GO Term: Gobp Temperature Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Fever Generation -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Ameboidal Type Cell Migration -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Formation Of Primary Germ Layer -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Endoderm Formation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Mesodermal Cell Fate Commitment -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Eye Photoreceptor Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Somitogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Somite Specification -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Organ Induction -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Morphogenesis Of A Branching Structure -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Establishment Of Lymphocyte Polarity -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Immunological Synapse Formation -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Plasma Membrane Repair -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_1.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
