Running with TEMP=0.0, sub_array_index=53
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 53: rows 2600 to 2649
GO Term: Gocc Phosphatidylinositol 3 Kinase Complex Class I -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Immune System and Inflammation, Response to Stimulus
GO Term: Gocc Postsynaptic Endocytic Zone -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation
GO Term: Gocc Postsynaptic Endosome -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, System and Developmental Process, Protein Metabolism and Trafficking, Structural Stabilization
GO Term: Gocc Membrane Microdomain -> Biodomain: Lipid Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Structural Stabilization
GO Term: Gocc Cluster Of Actin Based Cell Projections -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gocc Extrinsic Component Of Postsynaptic Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gocc Glutamatergic Synapse -> Biodomain: Neurotransmission and Synaptic Regulation, System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gocc Neuron To Neuron Synapse -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gocc Postsynaptic Specialization Intracellular Component -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction
GO Term: Gocc Postsynaptic Density Intracellular Component -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Signal Transduction, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation
GO Term: Gocc Extrinsic Component Of Synaptic Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, System and Developmental Process
GO Term: Gocc Secretory Vesicle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gocc Cytosolic Region -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gocc Synapse Associated Extracellular Matrix -> Biodomain: Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gocc Postsynaptic Specialization -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gocc Cell Cortex Region -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gocc Centriolar Subdistal Appendage -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gocc Neuron Projection Cytoplasm -> Biodomain: Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc Rod Photoreceptor Outer Segment -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gocc Dynein Axonemal Particle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gocc Bbaf Complex -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process
GO Term: Gocc Endoplasmic Reticulum Plasma Membrane Contact Site -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Lipid Metabolism, Structural Stabilization
GO Term: Gocc Mib Complex -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gocc Gbaf Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gocc Endoplasmic Reticulum Protein Containing Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Atac Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Cell Cycle, Protein Metabolism and Trafficking, Structural Stabilization
GO Term: Gocc Acetyltransferase Complex -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc H4 Histone Acetyltransferase Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gocc Dendritic Filopodium -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gocc Phosphatase Complex -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gocc Tertiary Granule Lumen -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gocc Endonuclease Complex -> Biodomain: DNA Repair, Apoptosis, RNA Metabolism, Response to Stimulus, Signal Transduction
GO Term: Gocc Exoribonuclease Complex -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gocc Trappii Protein Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Autophagy, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc Trappiii Protein Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Autophagy, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Iron Sulfur Cluster Assembly Complex -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Lipid Metabolism
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_53.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
