Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 200 to 249
GO Term: Gobp Endocardial Cushion Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Chromatin Organization -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Cell Cycle, System and Developmental Process
GO Term: Gobp Chromatin Remodeling -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Signal Transduction, System and Developmental Process
GO Term: Gobp Dna Methylation Dependent Heterochromatin Formation -> Biodomain: Epigenetic Regulation, Structural Stabilization, DNA Repair, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Dna Templated Transcription Elongation -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Mrna Splice Site Selection -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Mrna Cleavage -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Mrna Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Trna Modification -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, RNA Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
