Running with TEMP=0.0, sub_array_index=39
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 39: rows 1900 to 1949
GO Term: Gobp Membrane Fission -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gobp Response To Oxygen Glucose Deprivation -> Biodomain: Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Cell Cycle, Autophagy
GO Term: Gobp Cellular Response To Oxygen Glucose Deprivation -> Biodomain: Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Autophagy
GO Term: Gobp Cerebrospinal Fluid Circulation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Plasma Lipoprotein Particle Levels -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Cell Cycle
GO Term: Gobp Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Function and Metabolism, Signal Transduction, Immune System and Inflammation
GO Term: Gobp Ductus Arteriosus Closure -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Synaptic Vesicle Clustering -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gobp Gephyrin Clustering Involved In Postsynaptic Density Assembly -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Neuronal Stem Cell Population Maintenance -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Cycle, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Structural Stabilization
GO Term: Gobp Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Response to Stimulus, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Lysosomal Membrane Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Autophagy
GO Term: Gobp Amyloid Beta Clearance -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Immune System and Inflammation
GO Term: Gobp Renal Tubular Secretion -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Complement Dependent Cytotoxicity -> Biodomain: Immune System and Inflammation, Apoptosis, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, System and Developmental Process, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Response To Alcohol -> Biodomain: Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_39.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
