Running with TEMP=0.0, sub_array_index=34
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 34: rows 1650 to 1699
GO Term: Gobp Endoplasmic Reticulum Plasma Membrane Tethering -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Ubiquitin Dependent Endocytosis -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Interleukin 6 Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Interleukin 27 Mediated Signaling Pathway -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Ciliary Neurotrophic Factor Mediated Signaling Pathway -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Transcription and Translation Machinery, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Response To Uv A -> Biodomain: Response to Stimulus, DNA Repair, Signal Transduction, Cell Cycle, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Biomineral Tissue Development -> Biodomain: System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Positive Regulation Of Biomineral Tissue Development -> Biodomain: System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Structural Stabilization, Response to Stimulus
GO Term: Gobp Synaptonemal Complex Organization -> Biodomain: Cell Cycle, Structural Stabilization, Protein Metabolism and Trafficking, DNA Repair, Epigenetic Regulation
GO Term: Gobp Protein Trimerization -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Protein Auto Adp Ribosylation -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Cycle
GO Term: Gobp Regulation Of Mucus Secretion -> Biodomain: Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Mucus Secretion -> Biodomain: Immune System and Inflammation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Pyroptosis -> Biodomain: Apoptosis, Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Axonemal Dynein Complex Assembly -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp N Acylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Renal Absorption -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Renal Water Absorption -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Sarcoplasmic Reticulum Calcium Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Lens Fiber Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Cycle, Transcription and Translation Machinery
GO Term: Gobp Lens Fiber Cell Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Lens Fiber Cell Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp G1 To G0 Transition -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Fat Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, System and Developmental Process, Structural Stabilization, Response to Stimulus
GO Term: Gobp Hepatocyte Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Lipid Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Erk1 And Erk2 Cascade -> Biodomain: Signal Transduction, Cell Cycle, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Nucleotide Binding Oligomerization Domain Containing Signaling Pathway -> Biodomain: Signal Transduction, RNA Metabolism, Protein Metabolism and Trafficking, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Nucleotide Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Apoptosis, System and Developmental Process
GO Term: Gobp Nucleotide Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Nucleotide Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Apoptosis
GO Term: Gobp Positive Regulation Of Nucleotide Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Signal Transduction, Immune System and Inflammation, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Leukocyte Aggregation -> Biodomain: Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Monocyte Aggregation -> Biodomain: Cell Adhesion and Interaction, Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_34.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
