Running with TEMP=0.0, sub_array_index=45
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 45: rows 2200 to 2249
GO Term: Gobp Response To Sodium Phosphate -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Positive Regulation Of Protein Localization To Centrosome -> Biodomain: Cell Cycle, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Cranial Skeletal System Development -> Biodomain: System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Regulation Of Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Structural Stabilization
GO Term: Gobp Regulation Of Metallopeptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Metallopeptidase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Lysosomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Lysosomal Protein Catabolic Process -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Connective Tissue Replacement -> Biodomain: Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Positive Regulation Of Connective Tissue Replacement -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Regulation Of Aspartic Type Peptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Apoptosis, Autophagy, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Aspartic Type Peptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Apoptosis, Autophagy
GO Term: Gobp Negative Regulation Of Chromatin Organization -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Chromatin Organization -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Signal Transduction, System and Developmental Process
GO Term: Gobp Semi Lunar Valve Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Morphogenesis Of An Epithelium -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Morphogenesis Of An Epithelium -> Biodomain: System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus
GO Term: Gobp Positive Regulation Of Morphogenesis Of An Epithelium -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Protein Localization To Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization
GO Term: Gobp Protein Localization To Microtubule Organizing Center -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, Cell Cycle, Molecular Transport and Homeostasis
GO Term: Gobp Macrophage Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Macrophage Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Macrophage Migration -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Low Density Lipoprotein Receptor Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of Receptor Mediated Endocytosis Involved In Cholesterol Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism
GO Term: Gobp Positive Regulation Of Blood Brain Barrier Permeability -> Biodomain: Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regulation Of Lysosome Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Autophagy, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Plasma Membrane Repair -> Biodomain: Structural Stabilization, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Lipid Metabolism
GO Term: Gobp Regulation Of Endosome To Plasma Membrane Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Mesodermal Cell Differentiation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of 3 Utr Mediated Mrna Stabilization -> Biodomain: RNA Metabolism, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_45.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
