Running with TEMP=0.0, sub_array_index=46
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 46: rows 2250 to 2299
GO Term: Gobp Positive Regulation Of 3 Utr Mediated Mrna Stabilization -> Biodomain: RNA Metabolism, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Female Gonad Development -> Biodomain: System and Developmental Process, Reproductive System and Function, Regulation of Biological Process, Signal Transduction, Cell Differentiation
GO Term: Gobp Negative Regulation Of Reproductive Process -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Signaling Receptor Activity -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Glucocorticoid Receptor Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Negative Regulation Of Chemokine C X C Motif Ligand 2 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Chemokine C X C Motif Ligand 2 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_46.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
