Running with TEMP=0.0, sub_array_index=30
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 30: rows 1450 to 1499
GO Term: Gobp Protein Heterotetramerization -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Regulation Of Synapse Structural Plasticity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Mitochondrial Depolarization -> Biodomain: Mitochondrial Function and Metabolism, Apoptosis, Signal Transduction, Response to Stimulus, Cell Cycle
GO Term: Gobp Positive Regulation Of Mitochondrial Depolarization -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Apoptosis, System and Developmental Process
GO Term: Gobp Sulfation -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Positive Regulation Of Transmission Of Nerve Impulse -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Monoacylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Muscle Cell Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Cell Cycle
GO Term: Gobp Striated Muscle Cell Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Cardiac Muscle Tissue Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Ventricular Cardiac Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Structural Stabilization, Response to Stimulus
GO Term: Gobp Asymmetric Neuroblast Division -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Cycle, Structural Stabilization, Signal Transduction
GO Term: Gobp Iron Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Lipid Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Calcium Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Lipid Homeostasis -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_30.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
