Running with TEMP=0.0, sub_array_index=41
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 41: rows 2000 to 2049
GO Term: Gobp Purine Ribonucleotide Salvage -> Biodomain: Nucleotide Metabolism, Metabolic Process, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Neuron Projection Arborization -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regulation Of Deacetylase Activity -> Biodomain: Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Neuroinflammatory Response -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Neuroinflammatory Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Neuroinflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process
GO Term: Gobp Amyloid Beta Clearance By Cellular Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Cell Cell Junction Disassembly -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Structural Stabilization, Signal Transduction
GO Term: Gobp Positive Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Cellular Response To Heat -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Lipid Metabolism, Mitochondrial Function and Metabolism
GO Term: Gobp Positive Regulation Of G1 S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Dosage Compensation By Inactivation Of X Chromosome -> Biodomain: Epigenetic Regulation, System and Developmental Process, Transcription and Translation Machinery, Cell Cycle, DNA Repair
GO Term: Gobp Negative Regulation Of Nodal Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Receptor Binding -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Nuclear Transcribed Mrna Catabolic Process Deadenylation Dependent Decay -> Biodomain: RNA Metabolism, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Nuclear Transcribed Mrna Catabolic Process Deadenylation Dependent Decay -> Biodomain: RNA Metabolism, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Bone Mineralization Involved In Bone Maturation -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Amyloid Beta Clearance -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Synaptic Vesicle Endocytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Mrna Polyadenylation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Defense Response To Bacterium -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Calcium Ion Transmembrane Transporter Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Calcium Ion Transmembrane Transporter Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Response To Reactive Oxygen Species -> Biodomain: Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Apoptosis
GO Term: Gobp Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Positive Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_41.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
