Running with TEMP=0.0, sub_array_index=50
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 50: rows 2450 to 2499
GO Term: Gocc Ap 2 Adaptor Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gocc Cul2 Ring Ubiquitin Ligase Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gocc Cul3 Ring Ubiquitin Ligase Complex -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation, Cell Cycle, Response to Stimulus
GO Term: Gocc Tramp Complex -> Biodomain: RNA Metabolism, Response to Stimulus, Transcription and Translation Machinery, Structural Stabilization, Protein Metabolism and Trafficking
GO Term: Gocc Motile Cilium -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Pcg Protein Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Structural Stabilization, Response to Stimulus
GO Term: Gocc Brush Border Membrane -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gocc Microvillus Membrane -> Biodomain: Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, System and Developmental Process
GO Term: Gocc A Band -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc I Band -> Biodomain: Structural Stabilization, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Endosome Lumen -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gocc Early Endosome Lumen -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Structural Stabilization, Signal Transduction
GO Term: Gocc Microbody Lumen -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gocc Integrator Complex -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Structural Stabilization, System and Developmental Process
GO Term: Gocc Cuticular Plate -> Biodomain: Structural Stabilization, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gocc Carboxy Terminal Domain Protein Kinase Complex -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Dendrite Cytoplasm -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Protein Lipid Complex -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc Sarcoplasmic Reticulum Lumen -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Endoplasmic Reticulum Golgi Intermediate Compartment Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Proton Transporting Two Sector Atpase Complex Proton Transporting Domain -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gocc Transcription Factor Tftc Complex -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, RNA Metabolism
GO Term: Gocc Rdna Heterochromatin -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Structural Stabilization, System and Developmental Process
GO Term: Gocc Phagophore Assembly Site Membrane -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Cell Cycle
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_50.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
