Running with TEMP=0.0, sub_array_index=44
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 44: rows 2150 to 2199
GO Term: Gobp Negative Regulation Of Oxidative Stress Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Complement Dependent Cytotoxicity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Sprouting Angiogenesis -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Positive Regulation Of Sprouting Angiogenesis -> Biodomain: Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Wound Healing Spreading Of Epidermal Cells -> Biodomain: Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Structural Stabilization
GO Term: Gobp Positive Regulation Of Hemopoiesis -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Cell Cycle, Response to Stimulus
GO Term: Gobp Positive Regulation Of Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Positive Regulation Of Phospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Regulation Of Plasma Membrane Organization -> Biodomain: Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Negative Regulation Of Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Regulation Of Voltage Gated Potassium Channel Activity Involved In Ventricular Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Cardiac Conduction -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Amino Acid Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Dendrite Extension -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Viral Life Cycle -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Establishment Of T Cell Polarity -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Negative Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Cycle
GO Term: Gobp Negative Regulation Of Microglial Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Vasculature Development -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Negative Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Axonemal Central Apparatus Assembly -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Adipose Tissue Development -> Biodomain: Signal Transduction, Lipid Metabolism, System and Developmental Process, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Adipose Tissue Development -> Biodomain: System and Developmental Process, Lipid Metabolism, Cell Cycle, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Pyruvate Dehydrogenase Activity -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Pericyte Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Positive Regulation Of Basement Membrane Assembly Involved In Embryonic Body Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Protein Catabolic Process In The Vacuole -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Protein Catabolic Process In The Vacuole -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Endoplasmic Reticulum Mannose Trimming -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_44.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
