Running with TEMP=0.0, sub_array_index=48
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 48: rows 2350 to 2399
GO Term: Gobp Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Transcription Factor Tfiiic Complex -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction
GO Term: Gocc Exocyst -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gocc Ubiquitin Ligase Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gocc Protein Phosphatase Type 2A Complex -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gocc Nuclear Exosome Rnase Complex -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gocc Cytoplasmic Exosome Rnase Complex -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Transcription Export Complex -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gocc Tho Complex -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Signal Transduction
GO Term: Gocc Ekc Keops Complex -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gocc Nucleosome -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Structural Stabilization, System and Developmental Process
GO Term: Gocc Equatorial Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Cornified Envelope -> Biodomain: Structural Stabilization, System and Developmental Process, Lipid Metabolism, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gocc Immunological Synapse -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gocc Semaphorin Receptor Complex -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gocc Palmitoyltransferase Complex -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gocc Fibrinogen Complex -> Biodomain: Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gocc Membrane Attack Complex -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Structural Stabilization, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gocc Collagen Trimer -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Fibrillar Collagen Trimer -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Collagen Type Iv Trimer -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gocc Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gocc Basement Membrane -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gocc Interstitial Matrix -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gocc Nuclear Outer Membrane -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Rna Polymerase Iii Complex -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Response to Stimulus, Protein Metabolism and Trafficking, Structural Stabilization
GO Term: Gocc Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Chromatin Silencing Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process
GO Term: Gocc U7 Snrnp -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, DNA Repair, Epigenetic Regulation, System and Developmental Process
GO Term: Gocc U4 Snrnp -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gocc Mitochondrial Respiratory Chain Complex Iii -> Biodomain: Mitochondrial Function and Metabolism, Energy Metabolism, Redox Regulation, Membrane Biology, Structural Biology
GO Term: Gocc Secondary Lysosome -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Autophagy, Protein Metabolism and Trafficking, Lipid Metabolism, Response to Stimulus
GO Term: Gocc Vacuole -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Lipid Metabolism, Response to Stimulus
GO Term: Gocc Vacuolar Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gocc Vacuolar Lumen -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Autophagy, Lipid Metabolism
GO Term: Gocc Signal Peptidase Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_48.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
