Running with TEMP=0.0, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Terpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Complement Activation Classical Pathway -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Humoral Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Defense Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Response To Osmotic Stress -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Hypotonic Response -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Hyperosmotic Response -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Er Overload Response -> Biodomain: Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gobp Er Nucleus Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Plasma Membrane Organization -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Microtubule Based Movement -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Microtubule Depolymerization -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Protein Catabolic Process In The Vacuole -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Autophagy, Response to Stimulus
GO Term: Gobp Cell Cell Junction Assembly -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Male Meiotic Nuclear Division -> Biodomain: Cell Cycle, System and Developmental Process, DNA Repair, Signal Transduction, Response to Stimulus
GO Term: Gobp Cell Adhesion -> Biodomain: Cell Adhesion and Interaction, Cell Cycle, Immune System and Inflammation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Cell Adhesion -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Enzyme Linked Receptor Protein Signaling Pathway -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway -> Biodomain: Signal Transduction, Cell Cycle, Cell Adhesion and Interaction, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp G Protein Coupled Receptor Signaling Pathway Coupled To Cyclic Nucleotide Second Messenger -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_7.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
