Running with TEMP=0.0, sub_array_index=62
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 62: rows 3050 to 3099
GO Term: Gomf Testosterone Dehydrogenase Nadplus Activity -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Metabolic Processes, Signal Transduction
GO Term: Gomf Phosphatidylcholine Sterol O Acyltransferase Activator Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Nucleoside Triphosphatase Regulator Activity -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Endopeptidase Activator Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Peptidase Regulator Activity -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Apoptosis
GO Term: Gomf Endopeptidase Regulator Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gomf Ubiquitin Like Protein Ligase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gomf Sumo Ligase Activity -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gomf Peptide Lysine N Acetyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Regulatory Rna Binding -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gomf Rna 2 O Methyltransferase Activity -> Biodomain: RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Serine Type Exopeptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Vitamin B6 Binding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gomf Phosphatidic Acid Binding -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gomf Thyroid Hormone Binding -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gomf Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Nadph Binding -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gomf Death Domain Binding -> Biodomain: Apoptosis, Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf K63 Linked Polyubiquitin Modification Dependent Protein Binding -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Immune System and Inflammation, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Cytidylyltransferase Activity -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gomf Lysine Acetylated Histone Binding -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_62.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
