Running with TEMP=0.0, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 650 to 699
GO Term: Gobp Anterior Commissure Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Regulation Of Endocytosis -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Wnt Signaling Pathway -> Biodomain: Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Sphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Cell Adhesion -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process, Structural Stabilization
GO Term: Gobp Pancreatic Juice Secretion -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Platelet Activation -> Biodomain: Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Negative Regulation Of Wnt Signaling Pathway -> Biodomain: Signal Transduction, System and Developmental Process, Response to Stimulus, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp B Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Heparan Sulfate Proteoglycan Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Keratinocyte Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Male Sex Determination -> Biodomain: System and Developmental Process, Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Autophagy Of Peroxisome -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Lipid Glycosylation -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Ossification -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Ossification -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Bone Mineralization -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Melanocyte Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Regulation Of Complement Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Fatty Acid Elongation -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Bone Mineralization -> Biodomain: System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Bone Mineralization -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Bmp Signaling Pathway -> Biodomain: Signal Transduction, System and Developmental Process, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Male Genitalia Development -> Biodomain: System and Developmental Process, Reproductive System, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Female Genitalia Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Collagen Catabolic Process -> Biodomain: Structural Stabilization, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Nuclear Body Organization -> Biodomain: RNA Metabolism, DNA Repair, Structural Stabilization, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Ubiquitin Dependent Smad Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Neutrophil Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Leukocyte Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Regulation Of Vitamin Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Ovulation -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Cycle, Molecular Transport and Homeostasis
GO Term: Gobp Sequestering Of Triglyceride -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Actin Filament Polymerization -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Signal Transduction
GO Term: Gobp Prostate Gland Development -> Biodomain: System and Developmental Process, Reproductive System, Morphogenesis, Gland Development, Urogenital System
GO Term: Gobp Regulation Of Granulocyte Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Positive Regulation Of Granulocyte Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Epithelial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Epithelial Cell Differentiation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Epithelial Cell Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Cell Cycle, Neurodevelopment and Neuronal Differentiation, Structural Stabilization
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_14.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
