Running with TEMP=0.0, sub_array_index=40
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 40: rows 1950 to 1999
GO Term: Gobp Melanocyte Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus
GO Term: Gobp Learned Vocalization Behavior Or Vocal Learning -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction
GO Term: Gobp Cell Cell Adhesion -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Sodium Ion Import Across Plasma Membrane -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Macromolecule Deacylation -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Epigenetic Regulation, Response to Stimulus, Signal Transduction
GO Term: Gobp Inorganic Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Skin Epidermis Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Mrna Cleavage Involved In Mrna Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Xenophagy -> Biodomain: Autophagy, Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Modulation Of Excitatory Postsynaptic Potential -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Bone Growth -> Biodomain: System and Developmental Process, Structural Stabilization, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Vesicle Mediated Transport To The Plasma Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Neurotransmitter Receptor Transport To Plasma Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Postsynaptic Neurotransmitter Receptor Internalization -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Neurotransmitter Receptor Transport Endosome To Postsynaptic Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Retrograde Trans Synaptic Signaling -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Retrograde Trans Synaptic Signaling By Lipid -> Biodomain: Neurotransmission and Synaptic Regulation, Lipid Metabolism, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Postsynaptic Signal Transduction -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
GO Term: Gobp Axonal Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Dendritic Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Structural Stabilization, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Vesicle Tethering -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Actin Filament Based Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Vesicle Cytoskeletal Trafficking -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Cell Adhesion and Interaction
GO Term: Gobp Postsynapse To Nucleus Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Synaptic Vesicle Endosomal Processing -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Trans Synaptic Signaling By Lipid -> Biodomain: Neurotransmission and Synaptic Regulation, Lipid Metabolism, Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Maintenance Of Postsynaptic Density Structure -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Protein Metabolism and Trafficking
GO Term: Gobp Modification Of Synaptic Structure -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Neurotransmitter Receptor Internalization -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking, Cell Adhesion and Interaction
GO Term: Gobp Endosome To Plasma Membrane Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Vascular Endothelial Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Neuron Projection Organization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_40.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
