Running with TEMP=0.0, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Neutrophil Homeostasis -> Biodomain: Immune System and Inflammation, Cell Cycle, Apoptosis, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Lymphangiogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Immune System and Inflammation, Structural Stabilization
GO Term: Gobp Regulation Of Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process, Structural Stabilization
GO Term: Gobp Positive Regulation Of Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process, Structural Stabilization
GO Term: Gobp Blood Vessel Maturation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Suckling Behavior -> Biodomain: Response to Stimulus, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Signal Transduction
GO Term: Gobp Blood Vessel Remodeling -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Renal System Process Involved In Regulation Of Blood Volume -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Systemic Arterial Blood Pressure By Norepinephrine Epinephrine -> Biodomain: Neurotransmission and Synaptic Regulation, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Heart Rate By Epinephrine Norepinephrine -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Morphogenesis Of An Epithelium -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Morphogenesis Of An Epithelial Sheet -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Response To Dietary Excess -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Reduction Of Food Intake In Response To Dietary Excess -> Biodomain: Response to Stimulus, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Lipid Metabolism
GO Term: Gobp Regulation Of The Force Of Heart Contraction -> Biodomain: System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Mitochondrial Function and Metabolism
GO Term: Gobp Brain Renin Angiotensin System -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Sprouting Angiogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Cell Cycle, Signal Transduction, Response to Stimulus
GO Term: Gobp Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Positive Regulation Of Mesenchymal Cell Proliferation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Chondrocyte Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Epigenetic Regulation
GO Term: Gobp Chondrocyte Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Epithelial Cell Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus
GO Term: Gobp Columnar Cuboidal Epithelial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Columnar Cuboidal Epithelial Cell Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Glandular Epithelial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization
GO Term: Gobp Glandular Epithelial Cell Development -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Optic Cup Morphogenesis Involved In Camera Type Eye Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Lens Development In Camera Type Eye -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Lens Morphogenesis In Camera Type Eye -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_2.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
