Running with TEMP=0.0, sub_array_index=43
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 43: rows 2100 to 2149
GO Term: Gobp Semaphorin Plexin Signaling Pathway Involved In Neuron Projection Guidance -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Regulation Of Neutrophil Migration -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Axon Guidance -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Structural Stabilization, Response to Stimulus
GO Term: Gobp Negative Regulation Of Rna Biosynthetic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Receptor Localization To Synapse -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Chondrocyte Proliferation -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Chondrocyte Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Apoptotic Process Involved In Development -> Biodomain: Apoptosis, System and Developmental Process, Signal Transduction, Cell Cycle, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Lamellipodium Organization -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Cell Cycle G1 S Phase Transition -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Protein Localization To Microtubule -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process
GO Term: Gobp Regulation Of Mirna Transcription -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, RNA Metabolism, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Protein Polyubiquitination -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation, Response to Stimulus, DNA Repair
GO Term: Gobp Positive Regulation Of Protein Polyubiquitination -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Apoptosis
GO Term: Gobp Regulation Of Alcohol Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of Tau Protein Kinase Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Tau Protein Kinase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Mitochondrial Electron Transport Nadh To Ubiquinone -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Aspartic Type Endopeptidase Activity Involved In Amyloid Precursor Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Amyloid Precursor Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Glycoprotein Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Glycoprotein Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Rna Polymerase Ii Regulatory Region Sequence Specific Dna Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Response To Wounding -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Response To Wounding -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Extracellular Matrix Organization -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Er Associated Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Regulation Of Actin Filament Based Movement -> Biodomain: Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Trail Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Calcium Ion Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation
GO Term: Gobp Positive Regulation Of Oxidative Stress Induced Neuron Death -> Biodomain: Apoptosis, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Mitochondrial Function and Metabolism
GO Term: Gobp Protein Localization To Golgi Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
GO Term: Gobp Regulation Of Glutamate Secretion Neurotransmission -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Mrna Metabolic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Mrna Metabolic Process -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Regulation Of Protein Maturation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Protein Maturation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, System and Developmental Process
GO Term: Gobp Regulation Of Golgi Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_43.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
