Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 350 to 399
GO Term: Gobp Activation Of Adenylate Cyclase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Thorax And Anterior Abdomen Determination -> Biodomain: System and Developmental Process, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Segment Specification -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Epigenetic Regulation, Cell Cycle
GO Term: Gobp Pattern Specification Process -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Neuroblast Proliferation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Cycle, Response to Stimulus, System and Developmental Process
GO Term: Gobp Sensory Organ Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Midgut Development -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Mesodermal Cell Fate Specification -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Heart Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Myoblast Fusion -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Sex Determination -> Biodomain: System and Developmental Process, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Sex Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Dosage Compensation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Embryo Implantation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Aging -> Biodomain: Response to Stimulus, DNA Repair, Mitochondrial Function and Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Response To Nutrient -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Lactation -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Lipid Metabolism
GO Term: Gobp Hemostasis -> Biodomain: Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Copulation -> Biodomain: System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Trna Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Mesodermal Cell Migration -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, System and Developmental Process
GO Term: Gobp C21 Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Androgen Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Estrogen Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Mineralocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Spermidine Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Regulation Of Blood Pressure -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Positive Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp G2 Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, System and Developmental Process, Epigenetic Regulation, DNA Repair, Signal Transduction
GO Term: Gobp Germ Cell Migration -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Structural Stabilization, Signal Transduction
GO Term: Gobp Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Epidermis Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Signal Transduction, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Amino Acid Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
