Running with TEMP=0.0, sub_array_index=60
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 60: rows 2950 to 2999
GO Term: Gomf Mitogen Activated Protein Kinase Kinase Binding -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gomf Acetylcholine Receptor Binding -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gomf Calmodulin Dependent Protein Phosphatase Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gomf Amide Binding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery
GO Term: Gomf Monocarboxylic Acid Binding -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Protein Lysine Deacetylase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Receptor Serine Threonine Kinase Binding -> Biodomain: Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Immune System and Inflammation, System and Developmental Process
GO Term: Gomf Poly G Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Apolipoprotein Binding -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Apolipoprotein Receptor Binding -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Peptide N Acetyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Protein Kinase A Catalytic Subunit Binding -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Protein Kinase A Regulatory Subunit Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Dynactin Binding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
GO Term: Gomf Phosphatidylinositol 3 4 5 Trisphosphate 5 Phosphatase Activity -> Biodomain: Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf U3 Snorna Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Box H Aca Snorna Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Phosphatidylinositol Trisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Phosphatidylinositol Phosphate 5 Phosphatase Activity -> Biodomain: Signal Transduction, Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gomf Phosphatidylinositol Phosphate 4 Phosphatase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Arginine Binding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Lipid Metabolism, Response to Stimulus
GO Term: Gomf Nad Dependent Protein Deacetylase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Phosphatidylinositol 3 Kinase Activity -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf 1 Phosphatidylinositol 4 Phosphate 3 Kinase Activity -> Biodomain: Signal Transduction, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Phosphatidylinositol 3 Kinase Regulator Activity -> Biodomain: Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf Histone Kinase Activity -> Biodomain: Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gomf Sirna Binding -> Biodomain: RNA Metabolism, Epigenetic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Mirna Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gomf Udp Glucosyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gomf 5 3 Dna Exonuclease Activity -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gomf Signaling Adaptor Activity -> Biodomain: Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_60.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
