Running with TEMP=0.0, sub_array_index=55
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 55: rows 2700 to 2749
GO Term: Gomf Enoyl Coa Hydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Ribonuclease Activity -> Biodomain: RNA Metabolism, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gomf Oligosaccharyl Transferase Activity -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gomf Dolichyl Diphosphooligosaccharide Protein Glycotransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gomf Phospholipase D Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf 1 4 Alpha Oligoglucan Phosphorylase Activity -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf Protein Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Cell Cycle, Epigenetic Regulation
GO Term: Gomf Protein Serine Threonine Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Cell Cycle, Apoptosis, Immune System and Inflammation
GO Term: Gomf Amp Activated Protein Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Calmodulin Dependent Protein Kinase Activity -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, Response to Stimulus, Cell Cycle
GO Term: Gomf Protein Kinase C Activity -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gomf G Protein Coupled Receptor Kinase Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gomf Jun Kinase Kinase Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Phosphorylation and Kinase Activity, Cell Communication, Molecular Function
GO Term: Gomf Map Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Transcription and Translation Machinery, Immune System and Inflammation
GO Term: Gomf Map Kinase Kinase Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Apoptosis, Cell Cycle
GO Term: Gomf Protein Serine Threonine Tyrosine Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Cell Cycle, Transcription and Translation Machinery
GO Term: Gomf Phosphoprotein Phosphatase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Cell Cycle, Epigenetic Regulation, Response to Stimulus
GO Term: Gomf Protein Serine Threonine Phosphatase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Cell Cycle, Apoptosis, Molecular Transport and Homeostasis
GO Term: Gomf Calcium Dependent Protein Serine Threonine Phosphatase Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Protein Tyrosine Phosphatase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Cell Cycle, Immune System and Inflammation
GO Term: Gomf Enzyme Inhibitor Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Apoptosis, Immune System and Inflammation
GO Term: Gomf Phospholipase Inhibitor Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Immune System and Inflammation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf Camp Dependent Protein Kinase Inhibitor Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Serine Type Endopeptidase Inhibitor Activity -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Cysteine Type Endopeptidase Inhibitor Activity -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Apoptosis
GO Term: Gomf Complement Receptor Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gomf Nuclear Receptor Activity -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Cytokine Receptor Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gomf Interleukin 1 Receptor Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gomf Prostaglandin E Receptor Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Neuropeptide Y Receptor Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Fibroblast Growth Factor Receptor Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gomf Transforming Growth Factor Beta Receptor Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gomf Transforming Growth Factor Beta Receptor Activity Type I -> Biodomain: Signal Transduction, Cell Cycle, System and Developmental Process, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gomf Guanyl Nucleotide Exchange Factor Activity -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Signaling Receptor Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction, Immune System and Inflammation
GO Term: Gomf Cytokine Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gomf Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Apoptosis, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_55.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
