Running with TEMP=0.0, sub_array_index=57
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 57: rows 2800 to 2849
GO Term: Gomf Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Cell Cycle, Epigenetic Regulation
GO Term: Gomf Phosphate Ion Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gomf Bile Acid Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Glycerol Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf L Alanine Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Mitochondrial Function and Metabolism
GO Term: Gomf Nucleotide Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gomf Purine Nucleotide Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Adp Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Choline Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Lipid Metabolism, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf Heme Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Water Channel Activity -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Store Operated Calcium Channel Activity -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Antiporter Activity -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gomf Calcium Monoatomic Cation Antiporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Primary Active Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Oxidoreduction Driven Active Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Acetylcholine Receptor Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation
GO Term: Gomf Organophosphate Ester Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Lipid Metabolism, Response to Stimulus, Signal Transduction
GO Term: Gomf Quaternary Ammonium Group Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Nucleobase Containing Compound Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gomf Peptidoglycan Immune Receptor Activity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gomf Nad P H Oxidase H2O2 Forming Activity -> Biodomain: Signal Transduction, Response to Stimulus, Mitochondrial Function and Metabolism, Immune System and Inflammation, Molecular Transport and Homeostasis
GO Term: Gomf Channel Inhibitor Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Lysine N Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_57.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
