Running with TEMP=0.0, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 750 to 799
GO Term: Gobp Membrane Raft Organization -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Structural Stabilization, System and Developmental Process
GO Term: Gobp Positive Regulation Of Synaptic Transmission Cholinergic -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Regulation Of Nucleobase Containing Compound Transport -> Biodomain: Molecular Transport and Homeostasis, RNA Metabolism, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Nucleobase Containing Compound Transport -> Biodomain: Molecular Transport and Homeostasis, Transcription and Translation Machinery, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Secretory Granule Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Dense Core Granule Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, RNA Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Protein Polymerization -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Gonadotropin Secretion -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation
GO Term: Gobp Central Nervous System Myelin Formation -> Biodomain: Gliogenesis and Glial Differentiation, Structural Stabilization, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Chondrocyte Differentiation -> Biodomain: System and Developmental Process, Structural Stabilization, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Chondrocyte Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Cell Cycle, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Chondrocyte Differentiation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Regulation Of Aldosterone Metabolic Process -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Regulation Of Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Hormone Metabolic Process -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Response To Follicle Stimulating Hormone -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Response To Estradiol -> Biodomain: Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Positive Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Sterol Transport -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Regulation Of Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_16.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
