Running with TEMP=0.0, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 400 to 449
GO Term: Gobp Serine Family Amino Acid Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Purine Nucleoside Diphosphate Catabolic Process -> Biodomain: Nucleotide Metabolism, Energy Metabolism, ATP Metabolism, Signal Transduction, Cellular Catabolism
GO Term: Gobp Pyrimidine Nucleoside Diphosphate Metabolic Process -> Biodomain: RNA Metabolism, Nucleotide Metabolism, Molecular Transport and Homeostasis, Lipid Metabolism, Signal Transduction
GO Term: Gobp Pyrimidine Nucleoside Diphosphate Biosynthetic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, DNA Repair, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic Regulation, Cell Cycle, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Deoxyribonucleoside Monophosphate Metabolic Process -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, System and Developmental Process
GO Term: Gobp Ribonucleoside Diphosphate Catabolic Process -> Biodomain: RNA Metabolism, Metabolic Process, DNA Repair, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Pyrimidine Ribonucleoside Diphosphate Metabolic Process -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Pyrimidine Ribonucleoside Triphosphate Biosynthetic Process -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Pyrimidine Deoxyribonucleoside Triphosphate Metabolic Process -> Biodomain: DNA Repair, Epigenetic Regulation, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Pyrimidine Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, RNA Metabolism, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Glycolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, System and Developmental Process
GO Term: Gobp Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, RNA Metabolism, Lipid Metabolism, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Response To Temperature Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Amine Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Oligosaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gobp Oligosaccharide Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Toxin Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Response To Xenobiotic Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Immune System and Inflammation, Protein Metabolism and Trafficking
GO Term: Gobp Carnitine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Putrescine Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Rna Modification -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp 7 Methylguanosine Rna Capping -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Response To Wounding -> Biodomain: Response to Stimulus, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Response To Mechanical Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process
GO Term: Gobp Response To Bacterium -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Response To Nematode -> Biodomain: Response to Stimulus, Immune System and Inflammation, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Response To Gravity -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Response To Toxic Substance -> Biodomain: Response to Stimulus, Signal Transduction, DNA Repair, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Entrainment Of Circadian Clock -> Biodomain: Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Response To Salt Stress -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Catechol Containing Compound Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Lipid Metabolism, System and Developmental Process
GO Term: Gobp Response To Endogenous Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Cell Cycle
GO Term: Gobp Response To Hormone -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Asymmetric Cell Division -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Axis Specification -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Specification Of Symmetry -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Animal Organ Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Transcription and Translation Machinery, RNA Metabolism, Signal Transduction, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_9.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
