Running with TEMP=0.0, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Epidermal Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Cell Fate Commitment -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Centriole Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Regulation Of Mesenchymal Cell Proliferation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Negative Regulation Of Peptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Phospholipase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Phospholipase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Activation Of Janus Kinase Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Activation Of Janus Kinase Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Platelet Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Platelet Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Phosphorus Metabolic Process -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Ketone Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, Signal Transduction, Transcription and Translation Machinery, DNA Repair, System and Developmental Process
GO Term: Gobp Vascular Endothelial Growth Factor Production -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Immune System and Inflammation, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Regulation Of Lamellipodium Assembly -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Cell Cycle, System and Developmental Process
GO Term: Gobp Regulation Of Endothelial Cell Migration -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: RNA Metabolism, System and Developmental Process, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Programmed Cell Death Involved In Cell Development -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Cycle, Signal Transduction
GO Term: Gobp Negative Regulation Of Schwann Cell Proliferation -> Biodomain: Gliogenesis and Glial Differentiation, Signal Transduction, System and Developmental Process, Cell Cycle, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Gene Expression -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Epithelial Cell Migration -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Epithelial Cell Migration -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Epithelial Cell Migration -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process, Structural Stabilization
GO Term: Gobp Regulation Of Platelet Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, Cell Cycle, System and Developmental Process, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Platelet Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Cell Communication By Electrical Coupling -> Biodomain: Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Cell Communication -> Biodomain: Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Signal Transduction, System and Developmental Process, Response to Stimulus, Cell Cycle
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_10.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
