Running with TEMP=0.0, sub_array_index=47
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 47: rows 2300 to 2349
GO Term: Gobp Positive Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Signal Transduction, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Positive Regulation Of Natural Killer Cell Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Cd4 Positive Alpha Beta T Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of T Cell Costimulation -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Entry Of Bacterium Into Host Cell -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Gastrulation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Cd4 Positive Alpha Beta T Cell Proliferation -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Response to Stimulus, Cell Cycle
GO Term: Gobp Regulation Of Platelet Derived Growth Factor Receptor Alpha Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Nuclear Transcribed Mrna Catabolic Process Nonsense Mediated Decay -> Biodomain: RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Mirna Catabolic Process -> Biodomain: RNA Metabolism, Epigenetic Regulation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Mirna Metabolic Process -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of Receptor Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Genetic Imprinting -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, DNA Repair, Signal Transduction
GO Term: Gobp Negative Regulation Of Interleukin 1 Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Signal Transduction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Epithelial Cell Differentiation Involved In Kidney Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Adhesion and Interaction, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development -> Biodomain: System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Epigenetic Regulation, Structural Stabilization
GO Term: Gobp Negative Regulation Of Cytoplasmic Translation -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Double Strand Break Repair -> Biodomain: DNA Repair, Signal Transduction, Cell Cycle, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Synaptic Vesicle Clustering -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Nucleotide Excision Repair -> Biodomain: DNA Repair, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Heart Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Regulation Of Corticosteroid Hormone Secretion -> Biodomain: Endocrine System and Hormone Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Forebrain Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Positive Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Transcription and Translation Machinery, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Response To Drug -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Integrin Mediated Signaling Pathway -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Negative Regulation Of Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Signal Transduction, System and Developmental Process, Cell Cycle, Response to Stimulus
GO Term: Gobp Reactive Nitrogen Species Metabolic Process -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Mitochondrial Function and Metabolism, Epigenetic Regulation
GO Term: Gobp Regulation Of Phospholipid Transport -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_47.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
