Running with TEMP=0.0, sub_array_index=38
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 38: rows 1850 to 1899
GO Term: Gobp Monocarboxylic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Adenylate Cyclase Activating Adrenergic Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Bundle Of His Cell To Purkinje Myocyte Signaling -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Purkinje Myocyte To Ventricular Cardiac Muscle Cell Signaling -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Membrane Depolarization During Sa Node Cell Action Potential -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Cell Communication By Electrical Coupling Involved In Cardiac Conduction -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Endothelin Receptor Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp G Protein Coupled Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Signal Transduction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Neutrophil Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Tubulin Deacetylation -> Biodomain: Structural Stabilization, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Deacetylase Activity -> Biodomain: Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Response to Stimulus, Cell Cycle
GO Term: Gobp Positive Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Signal Transduction, System and Developmental Process
GO Term: Gobp Relaxation Of Muscle -> Biodomain: Muscle System Process, Molecular Transport and Homeostasis, Energy Metabolism, Signal Transduction, System and Developmental Process
GO Term: Gobp Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Immune System and Inflammation, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Transmembrane Receptor Protein Serine Threonine Kinase Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Cochlea Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp C 5 Methylation Of Cytosine -> Biodomain: Epigenetic Regulation, DNA Repair, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Synapse Maturation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Tissue Migration -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Mesenchyme Migration -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Epithelial Cell Cell Adhesion -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_38.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
