Running with TEMP=0.0, sub_array_index=28
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 28: rows 1350 to 1399
GO Term: Gobp Camera Type Eye Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Semicircular Canal Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Branching Morphogenesis Of An Epithelial Tube -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Mesenchymal Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Tissue Remodeling -> Biodomain: Structural Stabilization, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Pronephros Development -> Biodomain: System and Developmental Process, Organ Development, Renal and Urinary System, Morphogenesis and Tissue Remodeling, Embryonic Development
GO Term: Gobp Animal Organ Maturation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Genitalia Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Dendrite Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Dendrite Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Hair Follicle Maturation -> Biodomain: System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Cell Cycle
GO Term: Gobp Hair Follicle Maturation -> Biodomain: System and Developmental Process, Cell Cycle, Structural Stabilization, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Artery Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Forebrain Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Formation Of Anatomical Boundary -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Leukemia Inhibitory Factor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Stem Cell Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Cycle, Epigenetic Regulation
GO Term: Gobp Cell Motility -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process, Structural Stabilization
GO Term: Gobp Multicellular Organismal Level Homeostasis -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Chemical Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Sensory System Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp 3 Phosphoadenosine 5 Phosphosulfate Metabolic Process -> Biodomain: Sulfur Metabolism, Nucleotide Metabolism, Golgi and Vesicle Trafficking, Post-Translational Modification, Metabolic Pathways
GO Term: Gobp Homocysteine Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Epithelial Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Positive Regulation Of Epithelial Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Epigenetic Regulation
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_28.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
