Running with TEMP=0.9, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Forebrain Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Mitochondrial Function and Metabolism
GO Term: Gobp Positive Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Histone H3 K9 Methylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction
GO Term: Gobp Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Autophagy
GO Term: Gobp Norepinephrine Uptake -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Protein Delipidation -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Response To Misfolded Protein -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Catecholamine Uptake Involved In Synaptic Transmission -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Glutamate Reuptake -> Biodomain: Neurotransmission and Synaptic Regulation, Gliogenesis and Glial Differentiation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, System and Developmental Process, DNA Repair, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Asymmetric Neuroblast Division -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, System and Developmental Process, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Sodium Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Bergmann Glial Cell Differentiation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Glial Cell Proliferation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Cycle, Signal Transduction
GO Term: Gobp Regulation Of Respiratory Burst -> Biodomain: Immune System and Inflammation, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Cardiac Epithelial To Mesenchymal Transition -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Cardiac Muscle Contraction -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic Regulation, System and Developmental Process, DNA Repair, Structural Stabilization
GO Term: Gobp Placenta Blood Vessel Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus
GO Term: Gobp Labyrinthine Layer Blood Vessel Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Blood Vessel Endothelial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Arterial Endothelial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Cell Cycle, Structural Stabilization
GO Term: Gobp Establishment Of Blood Brain Barrier -> Biodomain: Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Chaperone Mediated Protein Folding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Notch Signaling Involved In Heart Development -> Biodomain: Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Chaperone Mediated Autophagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Selective Autophagy -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gobp Process Utilizing Autophagic Mechanism -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Meiosis I Cell Cycle Process -> Biodomain: Cell Cycle, DNA Repair, System and Developmental Process, Response to Stimulus, Structural Stabilization
GO Term: Gobp Intracellular Protein Transmembrane Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Chromosome Organization Involved In Meiotic Cell Cycle -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, DNA Repair, Epigenetic Regulation
GO Term: Gobp Regulation Of Stress Activated Protein Kinase Signaling Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, System and Developmental Process, Transcription and Translation Machinery
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.9/go_biodomain_results_part_7.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.9/runtime_log.csv
