Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 200 to 249
GO Term: Gobp Renal Sodium Excretion -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Steroid Hormone Mediated Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Lipid Metabolism, Epigenetic Regulation
GO Term: Gobp Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Apoptosis, Cell Cycle, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Mapk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Cycle, Immune System and Inflammation
GO Term: Gobp Mitochondrial Dna Repair -> Biodomain: DNA Repair, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Apoptosis, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Apoptosis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Apoptosis, Response to Stimulus, Immune System and Inflammation, Neurotransmission and Synaptic Regulation
GO Term: Gobp Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Cell Adhesion and Interaction, Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Recognition Of Apoptotic Cell -> Biodomain: Apoptosis, Immune System and Inflammation, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.1/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.1/runtime_log.csv
