Running with TEMP=0.5, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Amyloid Fibril Formation -> Biodomain: Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Intrinsic Apoptotic Signaling Pathway In Response To Hypoxia -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, Mitochondrial Function and Metabolism, Cell Adhesion and Interaction
GO Term: Gobp Embryonic Brain Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Transcription and Translation Machinery
GO Term: Gobp Mitochondrial Transmembrane Transport -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Protein Polyufmylation -> Biodomain: Ubiquitin-Protein System, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Presynaptic Active Zone Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Dorsal Root Ganglion Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Double Strand Break Repair Involved In Meiotic Recombination -> Biodomain: DNA Repair, System and Developmental Process, Cell Cycle, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Dna Templated Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of Actin Cytoskeleton Reorganization -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Actin Cytoskeleton Reorganization -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Cell Cycle, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of T Cell Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of T Cell Costimulation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Mirna Metabolic Process -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Forebrain Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Cd8 Positive Alpha Beta T Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Cycle
GO Term: Gobp Positive Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, Cell Cycle, System and Developmental Process
GO Term: Gobp Positive Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, Cell Cycle, System and Developmental Process
GO Term: Gobp Positive Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Dna Replication Preinitiation Complex -> Biodomain: Cell Cycle, Protein Metabolism and Trafficking, Structural Stabilization, DNA Repair, Epigenetic Regulation
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.5/go_biodomain_results_part_10.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.5/runtime_log.csv
