Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 350 to 399
GO Term: Gobp Lens Fiber Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Testosterone Stimulus -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Regulation Of Histone H3 K14 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Protein Localization To Chromosome Centromeric Region -> Biodomain: Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Cellular Response To Acidic Ph -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Cellular Response To Sterol Depletion -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Protein Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Signal Transduction
GO Term: Gobp Tail Anchored Membrane Protein Insertion Into Er Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Structural Stabilization
GO Term: Gobp Negative Regulation Of Protein Serine Threonine Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Cell Cycle, Epigenetic Regulation
GO Term: Gobp Maintenance Of Protein Localization In Organelle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Establishment Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Maintenance Of Protein Location In Mitochondrion -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp T Cell Extravasation -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Protein K6 Linked Ubiquitination -> Biodomain: DNA Repair, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Endothelin Receptor Signaling Pathway -> Biodomain: Signal Transduction, Immune System and Inflammation, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Protein Deubiquitination -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Copii Coated Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
GO Term: Gobp C 5 Methylation Of Cytosine -> Biodomain: Epigenetic Regulation, DNA Repair, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus
GO Term: Gobp Establishment Of Epithelial Cell Polarity -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization
GO Term: Gobp Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Response to Stimulus
GO Term: Gobp Positive Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Metaphase Plate Congression -> Biodomain: Cell Cycle, Structural Stabilization, Signal Transduction, System and Developmental Process, DNA Repair
GO Term: Gobp Positive Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Negative Regulation Of Calcium Ion Import -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Regulation Of Osteoclast Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Intracellular Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Intracellular Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Dna Templated Dna Replication -> Biodomain: Cell Cycle, Signal Transduction, DNA Repair, Epigenetic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Intracellular Glutamate Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Regulation Of Membrane Permeability -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Endothelial Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process, Structural Stabilization
GO Term: Gobp Response To Thyroid Hormone -> Biodomain: Response to Stimulus, Mitochondrial Function and Metabolism, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process
GO Term: Gobp Cellular Response To Thyroid Hormone Stimulus -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Vascular Associated Smooth Muscle Cell Development -> Biodomain: System and Developmental Process, Structural Stabilization, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.9/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.9/runtime_log.csv
