Running with TEMP=0.0, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 49
GO Term: Gobp Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Dna Replication Initiation -> Biodomain: Cell Cycle, Transcription and Translation Machinery, System and Developmental Process, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Dna Strand Elongation Involved In Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Epigenetic Regulation, Mitochondrial Function and Metabolism
GO Term: Gobp Base Excision Repair Gap Filling -> Biodomain: DNA Repair, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Cycle, Signal Transduction
GO Term: Gobp Dna Recombination -> Biodomain: DNA Repair, Signal Transduction, Transcription and Translation Machinery, Cell Cycle, Response to Stimulus
GO Term: Gobp Rrna Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Translational Elongation -> Biodomain: Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process, RNA Metabolism
GO Term: Gobp Translational Termination -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism
GO Term: Gobp Protein Folding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Response to Stimulus, Mitochondrial Function and Metabolism
GO Term: Gobp De Novo Protein Folding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Gpi Anchor Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Proteolysis -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Protein Quality Control For Misfolded Or Incompletely Synthesized Proteins -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Cotranslational Protein Targeting To Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Transcription and Translation Machinery, System and Developmental Process
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.0/go_biodomain_results_part_1.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.0/runtime_log.csv
