Running with TEMP=0.0, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Mirna Metabolic Process -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Forebrain Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Cycle, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Cd8 Positive Alpha Beta T Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Cycle, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Cell Cycle, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Cell Cycle, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Positive Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Cell Cycle, Response to Stimulus
GO Term: Gobp Regulation Of Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gocc Dna Replication Preinitiation Complex -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Protein Metabolism and Trafficking, System and Developmental Process
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.0/go_biodomain_results_part_10.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.0/runtime_log.csv
