Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 350 to 399
GO Term: Gobp Lens Fiber Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Metaphase Plate Congression -> Biodomain: Cell Cycle, Structural Stabilization, Signal Transduction, System and Developmental Process, DNA Repair
GO Term: Gobp Positive Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Calcium Ion Import -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Osteoclast Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Intracellular Protein Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Intracellular Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Autophagy
GO Term: Gobp Regulation Of Dna Templated Dna Replication -> Biodomain: Cell Cycle, Signal Transduction, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Intracellular Glutamate Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Regulation Of Membrane Permeability -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Endothelial Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Protein Metabolism and Trafficking, Structural Stabilization
GO Term: Gobp Response To Thyroid Hormone -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Cellular Response To Thyroid Hormone Stimulus -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Vascular Associated Smooth Muscle Cell Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.1/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.1/runtime_log.csv
