Running with TEMP=0.9, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 150 to 199
GO Term: Gobp Regulation Of Protein Stability -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Intracellular Protein Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Adiponectin Activated Signaling Pathway -> Biodomain: Signal Transduction, Lipid Metabolism, Mitochondrial Function and Metabolism, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Meiotic Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Mitotic Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, DNA Repair, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Unsaturated Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Protein Localization To Golgi Apparatus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Structural Stabilization
GO Term: Gobp Establishment Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, System and Developmental Process, Response to Stimulus
GO Term: Gobp Toll Like Receptor 9 Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Response To Type Iii Interferon -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Protein Metabolism and Trafficking
GO Term: Gobp Lipid Droplet Organization -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Early Endosome To Golgi Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Lipid Metabolism
GO Term: Gobp Centromere Complex Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic Regulation, Protein Metabolism and Trafficking, DNA Repair
GO Term: Gobp Cellular Response To Heat -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Response To Endoplasmic Reticulum Stress -> Biodomain: Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Rho Protein Signal Transduction -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Mirna Mediated Gene Silencing By Inhibition Of Translation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Signal Transduction, Lipid Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Structural Stabilization
GO Term: Gobp Vesicle Cargo Loading -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Cell Adhesion and Interaction
GO Term: Gobp Trif Dependent Toll Like Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Urine Volume -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Urine Volume -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.9/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.9/runtime_log.csv
