Running with TEMP=0.9, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Protein Transmembrane Import Into Intracellular Organelle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Protein Insertion Into Er Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Protein Insertion Into Er Membrane By Stop Transfer Membrane Anchor Sequence -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Thymic T Cell Selection -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Apoptosis, System and Developmental Process
GO Term: Gobp Integrin Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Meiotic Chromosome Segregation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, DNA Repair, Transcription and Translation Machinery
GO Term: Gobp Apical Protein Localization -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Structural Stabilization, Protein Metabolism and Trafficking
GO Term: Gobp Maintenance Of Protein Location -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
GO Term: Gobp Mhc Class I Biosynthetic Process -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Regulation Of Gamma Delta T Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Megakaryocyte Differentiation -> Biodomain: System and Developmental Process, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Positive Regulation Of Megakaryocyte Differentiation -> Biodomain: System and Developmental Process, Cell Cycle, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Respiratory Burst -> Biodomain: Immune System and Inflammation, Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Innate Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Negative Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, System and Developmental Process, Response to Stimulus, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Negative Regulation Of Growth -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Cycle, Structural Stabilization
GO Term: Gobp Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Apoptosis
GO Term: Gobp Positive Regulation Of Striated Muscle Contraction -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Glucose Import -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Jnk Cascade -> Biodomain: Signal Transduction, Apoptosis, Immune System and Inflammation, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Jnk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Apoptosis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Jak Stat -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Transcription and Translation Machinery, Protein Metabolism and Trafficking
GO Term: Gobp Icosanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Prostanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune System and Inflammation, Signal Transduction, Response to Stimulus, Mitochondrial Function and Metabolism
GO Term: Gobp Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Glycerophospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Phosphatidylinositol Metabolic Process -> Biodomain: Signal Transduction, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Protein Export From Nucleus -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Apoptosis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Golgi Vesicle Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Golgi Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Structural Stabilization
GO Term: Gobp Vesicle Targeting To From Or Within Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Vesicle Targeting Rough Er To Cis Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Golgi Vesicle Fusion To Target Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
GO Term: Gobp Negative Regulation Of Receptor Mediated Endocytosis -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Vesicle Fusion With Golgi Apparatus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Hematopoietic Or Lymphoid Organ Development -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Otolith Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.9/go_biodomain_results_part_6.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.9/runtime_log.csv
