Running with TEMP=0.1, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 400 to 449
GO Term: Gobp Negative Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Stress -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Er Associated Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Protein Localization To Condensed Chromosome -> Biodomain: Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process
GO Term: Gobp Regulation Of Trail Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, System and Developmental Process, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Liposaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Endoplasmic Reticulum To Cytosol Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Negative Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Negative Regulation Of P38Mapk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Apoptosis, System and Developmental Process
GO Term: Gobp Regulation Of Amino Acid Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, System and Developmental Process
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.1/go_biodomain_results_part_9.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.1/runtime_log.csv
