Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 200 to 249
GO Term: Gobp Renal Sodium Excretion -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Protein Refolding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Mitochondrial Function and Metabolism
GO Term: Gobp Fluid Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Lipid Metabolism, System and Developmental Process
GO Term: Gobp Epithelial Fluid Transport -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Catecholamine Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Strand Invasion -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Autophagy
GO Term: Gobp Ribosome Biogenesis -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Ribosomal Small Subunit Biogenesis -> Biodomain: Protein Metabolism and Trafficking, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Dopamine Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Middle Ear Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Immune System and Inflammation, Transcription and Translation Machinery, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Activation Of Janus Kinase Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of I Kappab Kinase Nf Kappab Signaling -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Apoptosis, Protein Metabolism and Trafficking
GO Term: Gobp Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Natural Killer Cell Degranulation -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Response to Stimulus, Signal Transduction
GO Term: Gobp Steroid Hormone Mediated Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Negative Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Mapk Cascade -> Biodomain: Signal Transduction, System and Developmental Process, Response to Stimulus, Cell Cycle, Immune System and Inflammation
GO Term: Gobp Mitochondrial Dna Repair -> Biodomain: DNA Repair, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Apigenesis, Immune System and Inflammation, Response to Stimulus, Cell Cycle
GO Term: Gobp Positive Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Apoptosis, Immune System and Inflammation, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Apoptosis, Response to Stimulus, Immune System and Inflammation, Cell Cycle
GO Term: Gobp Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus, Signal Transduction
GO Term: Gobp Recognition Of Apoptotic Cell -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.0/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Temp_0.0/runtime_log.csv
