Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 200 to 249
GO Term: Gobp Renal Sodium Excretion -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Immune System and Inflammation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Activation Of Janus Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Immune System and Inflammation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of I Kappab Kinase Nf Kappab Signaling -> Biodomain: Immune System and Inflammation, Signal Transduction, Apoptosis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Apoptotic Cell Clearance -> Biodomain: Apoptosis, Cell Adhesion and Interaction, Immune System and Inflammation, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Natural Killer Cell Degranulation -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Steroid Hormone Mediated Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Lipid Metabolism, System and Developmental Process
GO Term: Gobp Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Neurotransmission and Synaptic Regulation, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Cell Cycle, System and Developmental Process
GO Term: Gobp Negative Regulation Of Mapk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Cycle, Transcription and Translation Machinery
GO Term: Gobp Mitochondrial Dna Repair -> Biodomain: DNA Repair, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Apoptosis, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Apoptosis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Negative Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Apoptosis, Immune System and Inflammation
GO Term: Gobp Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process, Response to Stimulus
GO Term: Gobp Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Recognition Of Apoptotic Cell -> Biodomain: Immune System and Inflammation, Apoptosis, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
Saved results to: Experiment/DeepSeek/02-FXS/01-Name/Unknown_0/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/01-Name/Unknown_0/runtime_log.csv
