node,nodeID,root node,root node ID,biodomain_1,biodomain_2,biodomain_3,biodomain_4,biodomain_5
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION,GO:0010745,biological_process,GO:0008150,Immune System and Inflammation,Lipid Metabolism,Signal Transduction,System and Developmental Process,Epigenetic Regulation
GOBP_REGULATION_OF_PLASMINOGEN_ACTIVATION,GO:0010755,biological_process,GO:0008150,Response to Stimulus,Signal Transduction,Immune System and Inflammation,Protein Metabolism and Trafficking,System and Developmental Process
GOBP_REGULATION_OF_MACROPHAGE_CHEMOTAXIS,GO:0010758,biological_process,GO:0008150,Immune System and Inflammation,Response to Stimulus,Signal Transduction,Cell Adhesion and Interaction,System and Developmental Process
GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS,GO:0010759,biological_process,GO:0008150,Immune System and Inflammation,Signal Transduction,Response to Stimulus,Cell Adhesion and Interaction,System and Developmental Process
GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT,GO:0010765,biological_process,GO:0008150,Molecular Transport and Homeostasis,Signal Transduction,Response to Stimulus,Intracellular Trafficking and Organelle Dynamics,System and Developmental Process
GOBP_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION,,,,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Cell Adhesion and Interaction,Signal Transduction,Structural Stabilization
GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION,GO:0010810,biological_process,GO:0008150,Cell Adhesion and Interaction,Cell Cycle,Signal Transduction,Response to Stimulus,System and Developmental Process
GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION,GO:0010811,biological_process,GO:0008150,Cell Adhesion and Interaction,Response to Stimulus,Signal Transduction,System and Developmental Process,Structural Stabilization
GOBP_REGULATION_OF_HORMONE_LEVELS,GO:0010817,biological_process,GO:0008150,Signal Transduction,Molecular Transport and Homeostasis,Response to Stimulus,System and Developmental Process,Transcription and Translation Machinery
GOBP_T_CELL_CHEMOTAXIS,GO:0010818,biological_process,GO:0008150,Immune System and Inflammation,Cell Adhesion and Interaction,Response to Stimulus,Signal Transduction,Molecular Transport and Homeostasis
GOBP_REGULATION_OF_T_CELL_CHEMOTAXIS,GO:0010819,biological_process,GO:0008150,Immune System and Inflammation,Response to Stimulus,Signal Transduction,Cell Adhesion and Interaction,System and Developmental Process
GOBP_NEGATIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT,,,,Molecular Transport and Homeostasis,Lipid Metabolism,Mitochondrial Function and Metabolism,Signal Transduction,Response to Stimulus
GOBP_REGULATION_OF_KERATINOCYTE_PROLIFERATION,GO:0010837,biological_process,GO:0008150,Cell Cycle,System and Developmental Process,Response to Stimulus,Signal Transduction,Structural Stabilization
GOBP_POSITIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION,GO:0010838,biological_process,GO:0008150,System and Developmental Process,Cell Cycle,Cell Adhesion and Interaction,Response to Stimulus,Signal Transduction
GOBP_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION,GO:0010839,biological_process,GO:0008150,Cell Cycle,Signal Transduction,System and Developmental Process,Cell Adhesion and Interaction,Response to Stimulus
GOBP_POSITIVE_REGULATION_OF_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION,,,,Signal Transduction,Response to Stimulus,Protein Metabolism and Trafficking,System and Developmental Process,Epigenetic Regulation
GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_EFFLUX,GO:0010875,biological_process,GO:0008150,Lipid Metabolism,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics,System and Developmental Process,Response to Stimulus
GOBP_LIPID_LOCALIZATION,GO:0010876,biological_process,GO:0008150,Lipid Metabolism,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics,System and Developmental Process,Response to Stimulus
GOBP_POSITIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE,,,,Lipid Metabolism,Mitochondrial Function and Metabolism,Molecular Transport and Homeostasis,Autophagy,Response to Stimulus
GOBP_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS,GO:0010896,,,Lipid Metabolism,Signal Transduction,Mitochondrial Function and Metabolism,Response to Stimulus,System and Developmental Process
GOBP_MACROPHAGE_CYTOKINE_PRODUCTION,GO:0010934,,,Immune System and Inflammation,Signal Transduction,Protein Metabolism and Trafficking,Response to Stimulus,System and Developmental Process
GOBP_REGULATION_OF_CELL_DEATH,,,,Apoptosis,Autophagy,Cell Cycle,Immune System and Inflammation,Signal Transduction
GOBP_POSITIVE_REGULATION_OF_CELL_DEATH,,,,Apoptosis,Autophagy,Cell Cycle,Response to Stimulus,Signal Transduction
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_COMPETITIVE_PROMOTER_BINDING,GO:0010944,biological_process,GO:0008150,Transcription and Translation Machinery,Epigenetic Regulation,Signal Transduction,Response to Stimulus,System and Developmental Process
GOBP_REGULATION_OF_PHOSPHATE_TRANSPORT,GO:0010966,biological_process,GO:0008150,Molecular Transport and Homeostasis,Response to Stimulus,Signal Transduction,System and Developmental Process,Protein Metabolism and Trafficking
GOBP_REGULATION_OF_MICROTUBULE_NUCLEATION,GO:0010968,biological_process,GO:0008150,Structural Stabilization,Cell Cycle,Intracellular Trafficking and Organelle Dynamics,Neurodevelopment and Neuronal Differentiation,System and Developmental Process
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,GO:0010975,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,Neurotransmission and Synaptic Regulation,System and Developmental Process,Cell Adhesion and Interaction,Signal Transduction
GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,GO:0010976,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Signal Transduction,Neurotransmission and Synaptic Regulation,Response to Stimulus
GOBP_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE,GO:0010984,,,Lipid Metabolism,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,Signal Transduction
GOBP_NEGATIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE,GO:0010985,biological_process,GO:0008150,Molecular Transport and Homeostasis,Signal Transduction,Lipid Metabolism,System and Developmental Process,Intracellular Trafficking and Organelle Dynamics
GOBP_POSITIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE,GO:0010986,,,Lipid Metabolism,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,Signal Transduction,Molecular Transport and Homeostasis
GOBP_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE,GO:0010988,biological_process,GO:0008150,Intracellular Trafficking and Organelle Dynamics,Lipid Metabolism,Signal Transduction,System and Developmental Process,Protein Metabolism and Trafficking
GOBP_NEGATIVE_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE,GO:0010989,biological_process,GO:0008150,Lipid Metabolism,Signal Transduction,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,System and Developmental Process
GOBP_FREE_UBIQUITIN_CHAIN_POLYMERIZATION,GO:0010994,biological_process,GO:0008150,Protein Metabolism and Trafficking,Signal Transduction,DNA Repair,Autophagy,Response to Stimulus
GOBP_ASTROCYTE_DEVELOPMENT,GO:0014002,biological_process,GO:0008150,Gliogenesis and Glial Differentiation,System and Developmental Process,Neurodevelopment and Neuronal Differentiation,Molecular Transport and Homeostasis,Response to Stimulus
GOBP_PERIPHERAL_NERVOUS_SYSTEM_AXON_REGENERATION,GO:0014012,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Cell Adhesion and Interaction,Response to Stimulus,Signal Transduction
GOBP_REGULATION_OF_GLUTAMATE_SECRETION,GO:0014048,biological_process,GO:0008150,Neurotransmission and Synaptic Regulation,Signal Transduction,Response to Stimulus,Molecular Transport and Homeostasis,System and Developmental Process
GOBP_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,,,,Signal Transduction,Cell Cycle,Apoptosis,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking
GOBP_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,,,,Signal Transduction,Cell Cycle,Mitochondrial Function and Metabolism,Lipid Metabolism,Response to Stimulus
GOBP_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,,,,Signal Transduction,Intracellular Trafficking and Organelle Dynamics,Lipid Metabolism,Response to Stimulus,System and Developmental Process
GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND,,,,Response to Stimulus,Signal Transduction,Lipid Metabolism,Protein Metabolism and Trafficking,Epigenetic Regulation
GOBP_STRIATED_MUSCLE_TISSUE_DEVELOPMENT,,,,System and Developmental Process,Structural Stabilization,Cell Adhesion and Interaction,Cell Cycle,Response to Stimulus
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_HYPERTROPHY,GO:0014741,biological_process,GO:0008150,System and Developmental Process,Response to Stimulus,Signal Transduction,Molecular Transport and Homeostasis,Cell Cycle
GOBP_MUSCLE_CELL_MIGRATION,GO:0014812,biological_process,GO:0008150,Cell Adhesion and Interaction,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Signal Transduction,Response to Stimulus
GOBP_SKELETAL_MUSCLE_SATELLITE_CELL_DIFFERENTIATION,GO:0014816,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Cell Cycle,Signal Transduction,Structural Stabilization
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CONTRACTION,GO:0014829,biological_process,GO:0008150,Response to Stimulus,Signal Transduction,Molecular Transport and Homeostasis,System and Developmental Process,Structural Stabilization
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,GO:0072330,,,Lipid Metabolism,Protein Metabolism and Trafficking,Mitochondrial Function and Metabolism,Molecular Transport and Homeostasis,System and Developmental Process
GOBP_SULFUR_COMPOUND_TRANSPORT,GO:0072348,,,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics,Response to Stimulus,System and Developmental Process,Signal Transduction
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT,GO:0072359,biological_process,GO:0008150,System and Developmental Process,Molecular Transport and Homeostasis,Structural Stabilization,Signal Transduction,Immune System and Inflammation
GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE,GO:0072384,biological_process,GO:0008150,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,Protein Metabolism and Trafficking,Structural Stabilization,System and Developmental Process
GOBP_PLUS_END_DIRECTED_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE,GO:0072386,biological_process,GO:0008150,Intracellular Trafficking and Organelle Dynamics,Organelle Dynamics,Protein Metabolism and Trafficking,Structural Stabilization,System and Developmental Process
GOBP_MICROTUBULE_ANCHORING_AT_MICROTUBULE_ORGANIZING_CENTER,GO:0072393,biological_process,GO:0008150,Structural Stabilization,Intracellular Trafficking and Organelle Dynamics,Cell Cycle,System and Developmental Process,Molecular Transport and Homeostasis
GOBP_MESENCHYMAL_STEM_CELL_DIFFERENTIATION,GO:0072497,biological_process,GO:0008150,System and Developmental Process,Neurodevelopment and Neuronal Differentiation,Cell Adhesion and Interaction,Signal Transduction,Epigenetic Regulation
GOBP_EMBRYONIC_SKELETAL_JOINT_DEVELOPMENT,GO:0072498,biological_process,GO:0008150,System and Developmental Process,Structural Stabilization,Cell Adhesion and Interaction,Response to Stimulus,Signal Transduction
GOBP_PURINE_CONTAINING_COMPOUND_TRANSMEMBRANE_TRANSPORT,GO:0072530,biological_process,GO:0008150,Molecular Transport and Homeostasis,Signal Transduction,Intracellular Trafficking and Organelle Dynamics,Transcription and Translation Machinery,Response to Stimulus
GOBP_FIBROBLAST_ACTIVATION,GO:0072537,biological_process,GO:0008150,Signal Transduction,Immune System and Inflammation,Cell Adhesion and Interaction,Response to Stimulus,System and Developmental Process
GOBP_T_HELPER_17_CELL_LINEAGE_COMMITMENT,,,,Immune System and Inflammation,System and Developmental Process,Epigenetic Regulation,Signal Transduction,Neurodevelopment and Neuronal Differentiation
GOBP_TERMINAL_BUTTON_ORGANIZATION,GO:0072553,biological_process,GO:0008150,Neurotransmission and Synaptic Regulation,Cell Adhesion and Interaction,Neurodevelopment and Neuronal Differentiation,Structural Stabilization,Intracellular Trafficking and Organelle Dynamics
GOBP_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION,GO:0072567,,,Immune System and Inflammation,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Response to Stimulus,Signal Transduction
GOBP_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS,GO:0072577,biological_process,GO:0008150,Apoptosis,Immune System and Inflammation,Cell Adhesion and Interaction,System and Developmental Process,Response to Stimulus
GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS,GO:0072583,biological_process,GO:0008150,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,Protein Metabolism and Trafficking,Response to Stimulus,Signal Transduction
GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,GO:0072593,biological_process,GO:0008150,Mitochondrial Function and Metabolism,Signal Transduction,DNA Repair,Response to Stimulus,Protein Metabolism and Trafficking
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,GO:0072599,biological_process,GO:0008150,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Transcription and Translation Machinery,Molecular Transport and Homeostasis,Response to Stimulus
GOBP_LAMELLIPODIUM_MORPHOGENESIS,GO:0072673,biological_process,GO:0008150,Cell Adhesion and Interaction,System and Developmental Process,Structural Stabilization,Intracellular Trafficking and Organelle Dynamics,Signal Transduction
GOBP_LYMPHOCYTE_MIGRATION,GO:0072676,biological_process,GO:0008150,Immune System and Inflammation,Cell Adhesion and Interaction,Response to Stimulus,System and Developmental Process,Molecular Transport and Homeostasis
GOBP_T_CELL_MIGRATION,GO:0072678,biological_process,GO:0008150,Immune System and Inflammation,Cell Adhesion and Interaction,Response to Stimulus,System and Developmental Process,Signal Transduction
GOBP_THYMOCYTE_MIGRATION,GO:0072679,biological_process,GO:0008150,Immune System and Inflammation,Cell Adhesion and Interaction,Neurodevelopment and Neuronal Differentiation,Response to Stimulus,Signal Transduction
GOBP_T_CELL_EXTRAVASATION,GO:0072683,biological_process,GO:0008150,Immune System and Inflammation,Cell Adhesion and Interaction,Signal Transduction,Response to Stimulus,System and Developmental Process
GOBP_RESPONSE_TO_SORBITOL,,,,Response to Stimulus,Molecular Transport and Homeostasis,Signal Transduction,System and Developmental Process,Lipid Metabolism
GOBP_CELLULAR_RESPONSE_TO_SORBITOL,,,,Response to Stimulus,Molecular Transport and Homeostasis,Signal Transduction,Lipid Metabolism,System and Developmental Process
GOBP_RESPONSE_TO_ACTINOMYCIN_D,,,,Transcription and Translation Machinery,Response to Stimulus,Apoptosis,Autophagy,Signal Transduction
GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,GO:0080164,biological_process,GO:0008150,Signal Transduction,Molecular Transport and Homeostasis,Immune System and Inflammation,Response to Stimulus,System and Developmental Process
GOBP_HISTONE_H3_K4_TRIMETHYLATION,,,,Epigenetic Regulation,Transcription and Translation Machinery,Signal Transduction,System and Developmental Process,Response to Stimulus
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS,,,,Signal Transduction,System and Developmental Process,Molecular Transport and Homeostasis,Response to Stimulus,Neurotransmission and Synaptic Regulation
GOBP_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_SIGNALING,GO:0086028,,,Signal Transduction,Neurotransmission and Synaptic Regulation,Cell Adhesion and Interaction,Molecular Transport and Homeostasis,System and Developmental Process
GOBP_PURKINJE_MYOCYTE_TO_VENTRICULAR_CARDIAC_MUSCLE_CELL_SIGNALING,,,,Signal Transduction,Cell Adhesion and Interaction,Neurotransmission and Synaptic Regulation,System and Developmental Process,Response to Stimulus
GOBP_MEMBRANE_DEPOLARIZATION_DURING_SA_NODE_CELL_ACTION_POTENTIAL,GO:0086046,biological_process,GO:0008150,Neurotransmission and Synaptic Regulation,Molecular Transport and Homeostasis,Response to Stimulus,System and Developmental Process,Signal Transduction
GOBP_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING_INVOLVED_IN_CARDIAC_CONDUCTION,GO:0086064,biological_process,GO:0008150,Cell Adhesion and Interaction,Signal Transduction,Molecular Transport and Homeostasis,Response to Stimulus,System and Developmental Process
GOBP_ENDOTHELIN_RECEPTOR_SIGNALING_PATHWAY,GO:0086100,biological_process,GO:0008150,Signal Transduction,Response to Stimulus,Molecular Transport and Homeostasis,System and Developmental Process,Cell Adhesion and Interaction
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS,GO:0086103,biological_process,GO:0008150,Signal Transduction,System and Developmental Process,Response to Stimulus,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics
GOBP_REGULATION_OF_NEUTROPHIL_CHEMOTAXIS,GO:0090022,biological_process,GO:0008150,Immune System and Inflammation,Cell Adhesion and Interaction,Response to Stimulus,Signal Transduction,System and Developmental Process
GOBP_TUBULIN_DEACETYLATION,GO:0090042,biological_process,GO:0008150,Structural Stabilization,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,System and Developmental Process,Epigenetic Regulation
GOBP_POSITIVE_REGULATION_OF_DEACETYLASE_ACTIVITY,,,,Epigenetic Regulation,Signal Transduction,Protein Metabolism and Trafficking,Transcription and Translation Machinery,Response to Stimulus
GOBP_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,GO:0090050,biological_process,GO:0008150,Cell Adhesion and Interaction,System and Developmental Process,Signal Transduction,Response to Stimulus,Cell Cycle
GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_NUCLEATION,GO:0090063,biological_process,GO:0008150,Structural Stabilization,Intracellular Trafficking and Organelle Dynamics,Cell Cycle,Signal Transduction,System and Developmental Process
GOBP_RELAXATION_OF_MUSCLE,GO:0090075,biological_process,GO:0008150,Muscle System Process,Molecular Transport and Homeostasis,Energy Metabolism,Signal Transduction,System and Developmental Process
GOBP_FOAM_CELL_DIFFERENTIATION,GO:0090077,biological_process,GO:0008150,Lipid Metabolism,Immune System and Inflammation,System and Developmental Process,Response to Stimulus,Intracellular Trafficking and Organelle Dynamics
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY,GO:0090091,biological_process,GO:0008150,Structural Stabilization,Signal Transduction,Response to Stimulus,System and Developmental Process,Cell Adhesion and Interaction
GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,GO:0090100,biological_process,GO:0008150,Signal Transduction,Response to Stimulus,Cell Adhesion and Interaction,System and Developmental Process,Protein Metabolism and Trafficking
GOBP_COCHLEA_MORPHOGENESIS,GO:0090103,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Structural Stabilization,Response to Stimulus,Cell Adhesion and Interaction
GOBP_C_5_METHYLATION_OF_CYTOSINE,,,,Epigenetic Regulation,DNA Repair,Transcription and Translation Machinery,Signal Transduction,Response to Stimulus
GOBP_POSITIVE_REGULATION_OF_SYNAPSE_MATURATION,GO:0090129,biological_process,GO:0008150,Neurotransmission and Synaptic Regulation,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Cell Adhesion and Interaction,Signal Transduction
GOBP_TISSUE_MIGRATION,GO:0090130,,,System and Developmental Process,Cell Adhesion and Interaction,Response to Stimulus,Signal Transduction,Structural Stabilization
GOBP_MESENCHYME_MIGRATION,GO:0090131,biological_process,GO:0008150,Cell Adhesion and Interaction,System and Developmental Process,Response to Stimulus,Signal Transduction,Structural Stabilization
GOBP_EPITHELIAL_CELL_CELL_ADHESION,GO:0090136,biological_process,GO:0008150,Cell Adhesion and Interaction,Structural Stabilization,System and Developmental Process,Response to Stimulus,Signal Transduction
GOBP_REGULATION_OF_MITOCHONDRIAL_FISSION,GO:0090140,biological_process,GO:0008150,Mitochondrial Function and Metabolism,Intracellular Trafficking and Organelle Dynamics,Signal Transduction,Protein Metabolism and Trafficking,System and Developmental Process
GOBP_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION,GO:0032922,biological_process,GO:0008150,Transcription and Translation Machinery,Epigenetic Regulation,Signal Transduction,Response to Stimulus,System and Developmental Process
GOBP_REGULATION_OF_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY,GO:0032925,biological_process,GO:0008150,Signal Transduction,Response to Stimulus,System and Developmental Process,Cell Cycle,Epigenetic Regulation
GOBP_POSITIVE_REGULATION_OF_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY,GO:0032927,biological_process,GO:0008150,Signal Transduction,Response to Stimulus,Cell Adhesion and Interaction,Neurodevelopment and Neuronal Differentiation,System and Developmental Process
GOBP_INOSITOL_TRISPHOSPHATE_METABOLIC_PROCESS,GO:0032957,biological_process,GO:0008150,Signal Transduction,Molecular Transport and Homeostasis,Lipid Metabolism,System and Developmental Process,Epigenetic Regulation
GOBP_INOSITOL_TRISPHOSPHATE_BIOSYNTHETIC_PROCESS,GO:0032959,biological_process,GO:0008150,Signal Transduction,Lipid Metabolism,Molecular Transport and Homeostasis,Response to Stimulus,Intracellular Trafficking and Organelle Dynamics
GOBP_COLLAGEN_METABOLIC_PROCESS,GO:0032963,biological_process,GO:0008150,Structural Stabilization,Protein Metabolism and Trafficking,System and Developmental Process,Response to Stimulus,Molecular Transport and Homeostasis
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_ELONGATION_BY_RNA_POLYMERASE_II,,,,Transcription and Translation Machinery,Epigenetic Regulation,Signal Transduction,Response to Stimulus,System and Developmental Process
GOBP_RIBONUCLEOPROTEIN_COMPLEX_DISASSEMBLY,,,,RNA Metabolism,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Response to Stimulus
GOBP_MUSCLE_CELL_PROLIFERATION,GO:0033002,biological_process,GO:0008150,Cell Cycle,System and Developmental Process,Structural Stabilization,Response to Stimulus,Signal Transduction
GOBP_REGULATION_OF_MAST_CELL_ACTIVATION,GO:0033003,biological_process,GO:0008150,Immune System and Inflammation,Signal Transduction,Response to Stimulus,Autophagy,Epigenetic Regulation
GOBP_POSITIVE_REGULATION_OF_MAST_CELL_ACTIVATION,GO:0033005,biological_process,GO:0008150,Immune System and Inflammation,Response to Stimulus,Signal Transduction,Cell Adhesion and Interaction,System and Developmental Process
GOBP_POSITIVE_REGULATION_OF_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,,,,Immune System and Inflammation,Signal Transduction,Response to Stimulus,System and Developmental Process,Cell Adhesion and Interaction
GOBP_TETRAPYRROLE_CATABOLIC_PROCESS,GO:0033015,,,Lipid Metabolism,Mitochondrial Function and Metabolism,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Response to Stimulus
GOBP_REGULATION_OF_MYELOID_CELL_APOPTOTIC_PROCESS,GO:0033032,biological_process,GO:0008150,Apoptosis,Immune System and Inflammation,Cell Cycle,Signal Transduction,Response to Stimulus
GOBP_NEGATIVE_REGULATION_OF_MYELOID_CELL_APOPTOTIC_PROCESS,GO:0033033,biological_process,GO:0008150,Immune System and Inflammation,Apoptosis,Signal Transduction,Response to Stimulus,Cell Cycle
GOBP_POSITIVE_REGULATION_OF_T_CELL_DIFFERENTIATION_IN_THYMUS,GO:0033089,biological_process,GO:0008150,Immune System and Inflammation,System and Developmental Process,Cell Adhesion and Interaction,Signal Transduction,Response to Stimulus
GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION_OF_STAT_PROTEIN,,,,Signal Transduction,Protein Metabolism and Trafficking,Immune System and Inflammation,Response to Stimulus,Transcription and Translation Machinery
GOBP_RESPONSE_TO_VITAMIN_A,GO:0033189,biological_process,GO:0008150,Response to Stimulus,Signal Transduction,Molecular Transport and Homeostasis,System and Developmental Process,Epigenetic Regulation
GOBP_RESPONSE_TO_VITAMIN_E,GO:0033197,biological_process,GO:0008150,Response to Stimulus,Lipid Metabolism,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism,System and Developmental Process
GOBP_MEIOTIC_CYTOKINESIS,GO:0033206,biological_process,GO:0008150,Cell Cycle,Structural Stabilization,System and Developmental Process,Protein Metabolism and Trafficking,Response to Stimulus
GOBP_RESPONSE_TO_VITAMIN,GO:0033273,biological_process,GO:0008150,Response to Stimulus,Signal Transduction,Lipid Metabolism,Molecular Transport and Homeostasis,System and Developmental Process
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING,GO:0033275,biological_process,GO:0008150,Structural Stabilization,Cell Adhesion and Interaction,Intracellular Trafficking and Organelle Dynamics,System and Developmental Process,Response to Stimulus
